stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,hatching_gland,immune,iridophores,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,spinal_cord,vasculature
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,85.81,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0
  7-9,0,2.63,0,0,0,0,0,2.63,0,0,0,0,23.66,2.63,13.14,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,22.03,0,6.29,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,1,0
 24-34,0,0,0.82,0,4.1,0,0.82,0,0,0.82,0,0.82,18.88,0,0,0,5.75,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0
 48-58,0,0,0.57,0,7.46,0,3.44,0,0,0,0.57,0,5.16,0,0,0.57,0.57,0
 72-82,0,0,0,0,0.98,0,0,0,0,0,0,0,3.93,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0,1.09,0,0
108-118,0,0,0.77,0,0.77,0,0,0,0,0,0,0,0.77,0,0,0,0,0.77
120,0,0,0,0,0,1.96,0,0,1.96,0,1.96,0,0,0,0,0,0,0
