stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,2,6,19,5,0,6,0,0,0,3,3,0,0,0,2,0,0,0,14,0,0,6,81,2,0,0,2,0,2,16,0,0,22,45,0,0,1,0,0
 24-34,0,1.64,10.67,4.1,0,23.8,0,0.82,1.64,4.93,0,0,0,0,1.64,1.64,0,1.64,92.76,0.82,0,22.16,160.07,1.64,1.64,3.28,0,0,9.03,0,0,8.21,4.1,68.13,0,0,8.21,0,0
 36-46,0,0,3.22,0,0,53.98,0.81,1.61,6.45,8.06,0,1.61,1.61,0.81,0.81,0,1.61,0,144.21,0,0.81,29,157.11,0.81,1.61,0.81,0,0,6.45,0,0.81,15.31,0,67.68,0,0,7.25,0,0.81
 48-58,0,0.57,2.87,1.15,0,60.25,0.57,1.72,5.74,10.33,0,0.57,1.15,0.57,0.57,1.15,0,0,168.12,0,1.72,22.95,107.88,0,1.15,0,0,0,4.02,0,0,5.16,0,32.71,0,0.57,5.16,0,0
 60-70,0,0,4.91,2.94,0,59.87,0.98,3.93,5.89,10.8,0.98,0,0.98,0,0.98,0,0,1.96,170.78,0,3.93,14.72,87.36,0,0,0,0,0.98,1.96,0,0,1.96,0,17.67,0,0,3.93,1.96,0
 72-82,0,0,6.87,4.91,0,58.9,0.98,0,9.82,26.5,0,0,0.98,0,4.91,0,0.98,0.98,285.66,0,2.94,11.78,85.4,0,0.98,1.96,0,0.98,1.96,0,0,1.96,0,8.83,0.98,1.96,13.74,5.89,3.93
 84-94,0,0,6.37,9.56,0,50.98,1.06,2.12,2.12,11.68,3.19,0,0,4.25,2.12,0,0,1.06,147.62,0,3.19,14.87,41.42,0,3.19,2.12,0,1.06,5.31,0,2.12,0,0,7.43,0,0,9.56,4.25,0
 96-106,0,0,10.93,9.84,1.09,21.86,0,4.37,2.19,15.3,6.56,0,1.09,6.56,0,1.09,1.09,2.19,143.16,1.09,2.19,5.46,40.44,0,1.09,1.09,0,1.09,13.11,0,0,1.09,0,4.37,1.09,1.09,10.93,3.28,1.09
108-118,0.77,0.77,9.96,9.19,1.53,9.19,0.77,4.6,3.06,7.66,3.83,0,1.53,3.83,2.3,1.53,1.53,0,134.81,0,1.53,3.06,37.53,0,0.77,2.3,0,1.53,9.96,0,0,0,0,0.77,0,0,7.66,1.53,1.53
120,0,0,21.56,7.84,0,9.8,0,0,3.92,13.72,3.92,1.96,0,3.92,0,0,1.96,0,107.79,0,0,9.8,25.48,0,0,0,0,0,5.88,0,0,0,0,1.96,0,1.96,15.68,1.96,1.96
