stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,224.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,122.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,5.26,0,0,7.89,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,68.35,7.89,0,0,31.54,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,15.73,0,3.15,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.35,15.73,0,0,56.65,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,2,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,3,18,0,0,1,1,1,1,0,1,6,0,0,0,0
 24-34,0,0,0,0,0,0,8.21,0.82,0,0,0,0,0,0,0,0,0,3.28,0,0.82,1.64,36.12,0,0,0,0,1.64,0,0,0,14.78,0,0,0,0
 36-46,0,0,0,0,0,0,20.95,0,0,3.22,0,0,0.81,0,0,0,0,4.83,0,0,0,41.09,0,3.22,0.81,0,0,0,0,0,8.06,0,0,0,0
 48-58,0,0,0,0,1.72,0,18.94,0,0,3.44,0,0,0,0.57,0,0,0,8.03,0,0,2.3,32.71,0,1.72,0,0,0,0,0,0,6.31,0,1.72,0,0.57
 60-70,0,0,0,0,0.98,0,38.28,0,0.98,4.91,0,0,0,0,0,0.98,0,7.85,0,0.98,0,36.32,0,2.94,0,0,0,0,0,0,9.82,0,0,0,0
 72-82,0,0,0,0,0.98,0.98,49.08,0,0.98,3.93,0,0,0.98,0,0,0.98,0,11.78,0,0,0.98,31.41,0,8.83,2.94,0,0.98,0,0,0,1.96,0,0,0.98,0
 84-94,0,0,0,0,0,0,50.98,0,0,2.12,1.06,0,0,0,0,1.06,0,7.43,0,1.06,0,23.36,0,2.12,1.06,0,1.06,0,0,0,0,1.06,2.12,0,0
 96-106,0,0,1.09,0,0,0,36.06,0,0,1.09,0,0,0,1.09,0,0,0,8.74,1.09,0,0,12.02,1.09,7.65,0,0,1.09,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.77,0.77,29.11,0.77,0,2.3,0.77,0,0,0.77,0.77,0,0.77,3.06,0,0,0.77,18.38,0,3.06,2.3,0,0.77,0,0,0,0.77,0,0.77,0,0.77
120,0,0,0,0,0,1.96,23.52,1.96,0,1.96,0,0,0,0,0,0,0,0,0,0,0,7.84,0,0,1.96,0,0,0,0,0,0,0,1.96,0,0
