stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,2.63,0,0,13.14,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,78.86,18.4,0,0,52.57,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,78.67,0,3.15,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,129.03,62.94,0,0,195.11,0,0,0,3.15,3.15,0,12.59,0,0,0,0,0,0
 14-21,0,0,0,0,9,2,4,0,3,0,4,9,1,0,0,0,0,0,0,0,12,0,0,25,66,17,1,7,2,0,0,1,55,2,31,248,109,0,0,1,0,0
 24-34,0,0,0,0.82,9.85,0,23.8,0,26.27,1.64,10.67,0.82,0,2.46,0,0,0,0.82,0,0.82,21.34,0,0,13.95,355.43,10.67,0,22.98,0,0,0,0,0,2.46,13.13,52.53,168.28,0,0,3.28,0,0.82
 36-46,0,0,0,0,6.45,0,133.74,2.42,16.92,1.61,16.92,1.61,0,1.61,0,0,3.22,0,0,0,25.78,0,0.81,12.89,518.85,8.06,2.42,13.7,0.81,0,1.61,0,0,4.83,5.64,0.81,312.6,0,0,0.81,0,0.81
 48-58,0,0,0,1.15,5.74,0,123.94,5.16,10.33,0,45.9,2.3,0,0.57,1.15,0,2.3,1.15,0,0,39.02,0,0.57,16.07,276.57,4.59,0,17.21,0,0,1.15,0,0,1.15,5.16,0,224.93,0,0,2.3,0,0.57
 60-70,0,0,0.98,0,6.87,0,83.43,5.89,25.52,0,50.06,4.91,0.98,3.93,0,0,4.91,0.98,0,0,53.98,0.98,1.96,12.76,118.76,1.96,0,23.56,0,0,0.98,0,0,0.98,3.93,0,106,0,0,2.94,0,2.94
 72-82,0,0,1.96,0,8.83,0.98,62.83,6.87,11.78,0.98,66.75,4.91,0.98,0.98,0.98,0,13.74,1.96,0,0,86.39,0.98,1.96,14.72,95.22,0.98,0.98,33.38,0,0.98,0.98,0,0,2.94,2.94,0,42.21,0,0,7.85,5.89,2.94
 84-94,1.06,0,1.06,0,12.74,0,62.66,5.31,14.87,2.12,58.41,15.93,1.06,0,1.06,0,7.43,2.12,1.06,1.06,50.98,1.06,5.31,14.87,50.98,1.06,3.19,30.8,0,1.06,1.06,0,0,4.25,5.31,0,28.68,1.06,3.19,3.19,3.19,1.06
 96-106,0,0,1.09,0,8.74,0,55.74,7.65,17.49,0,59.01,5.46,0,1.09,0,0,10.93,0,3.28,0,39.34,1.09,0,10.93,46.99,1.09,1.09,48.09,0,2.19,1.09,0,0,0,5.46,0,15.3,2.19,4.37,8.74,5.46,1.09
108-118,0,0,0.77,0,17.62,0,65.87,8.43,29.87,1.53,62.04,4.6,0,0.77,0,1.53,10.72,1.53,0.77,1.53,32.17,0,2.3,12.26,52.85,1.53,0.77,36,0,0.77,1.53,0,0,5.36,3.83,0,6.89,0.77,2.3,6.13,7.66,0.77
120,0,0,0,0,17.64,1.96,19.6,7.84,19.6,1.96,72.51,7.84,0,1.96,0,0,7.84,1.96,3.92,0,41.16,0,1.96,9.8,50.95,3.92,0,19.6,0,1.96,1.96,0,0,1.96,5.88,0,13.72,0,7.84,0,5.88,0
