stage,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,heart,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,neural,otic,paraxial_mesoderm,periderm,slow_muscle,spinal_cord
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0
 24-34,0.82,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0.82,0,0,0,0,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,2.42,0,0,1.61,0,0
 48-58,0.57,0.57,0,0,0,0,0,0.57,0,0.57,0,0,1.15,0,1.15,0.57,0,4.02,0,0.57
 60-70,0,0,1.96,0,0,0,0,0,0,0,0,2.94,0,0,0.98,0.98,0,1.96,0,0
 72-82,1.96,14.72,1.96,0.98,3.93,0.98,0,0.98,0,0,0,2.94,0.98,0.98,3.93,0,0,5.89,0,0.98
 84-94,0,7.43,4.25,0,0,0,0,1.06,0,0,2.12,5.31,0,0,1.06,0,0,12.74,1.06,0
 96-106,1.09,17.49,4.37,1.09,0,1.09,1.09,2.19,0,0,0,1.09,2.19,0,3.28,0,0,16.39,0,0
108-118,1.53,9.96,1.53,0.77,0,0,0,1.53,3.06,0,0,0.77,0,0,3.06,1.53,0,4.6,0,0
120,1.96,7.84,1.96,1.96,0,0,0,0,1.96,0,0,1.96,0,0,0,1.96,0,5.88,0,0
