stage,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,hatching.gland,immune,mesenchyme,mural.cell,muscle,neural,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord,vasculature,xanthophores
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,1,1,0,0,0,0,0,0,0,0,2,6,0,1,0,2,1,0,0
 24-34,0,0,0.82,0.82,0,0,0,0,0.82,0,1.64,14.78,0,0,1.64,0,5.75,0.82,0.82
 36-46,0,0,0,3.22,0,0.81,0,0,0,0,0.81,13.7,0,0,0,0,1.61,0,0
 48-58,0,0,0,5.16,0,0,0,0,1.72,0.57,0,4.02,0.57,0,0,0,2.87,0,0
 60-70,0,0,0,2.94,0,0,0,0,0,0,0,2.94,0,0,0,0,0.98,0,0
 72-82,0,0.98,0,4.91,0.98,0.98,0,0,1.96,0,0.98,2.94,0.98,0,0.98,0,1.96,0,0
 84-94,0,1.06,0,1.06,0,2.12,0,1.06,0,0,0,1.06,0,0,2.12,0,0,1.06,0
 96-106,0,0,0,0,0,0,0,0,1.09,0,0,1.09,0,0,0,0,0,0,0
108-118,0,0.77,0,0.77,0,1.53,0,0,0,0,0,3.06,0,0,0,0,0,0,0
120,0,0,0,1.96,0,0,0,0,0,0,0,1.96,0,0,3.92,0,0,1.96,0
