stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,6.13,140.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,7.89,0,0,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,60.46,0,0,0,21.03,0,2.63,2.63,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,15.73,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,160.5,6.29,0,0,56.65,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,24,10,79,0,0,0,11,0,0,0,0,1,0,0,0,41,0,0,19,526,4,0,0,7,0,5,0,11,2,11,122,0,2,0,2
 24-34,0,0,0,0.82,10.67,3.28,206.03,0,0,1.64,9.03,1.64,0,0.82,0,4.93,3.28,0,0,69.77,0,0,32.83,397.29,1.64,2.46,1.64,0.82,0,6.57,0,0,0,2.46,85.37,0,13.13,0,0.82
 36-46,0,0,0,0,4.83,0.81,174.02,0,0,0,10.47,0.81,0,0,0,0,0,0.81,0.81,69.29,0.81,2.42,20.14,187.72,0,0,3.22,0,0,1.61,0,0,0.81,0,36.26,0,5.64,0,0
 48-58,0,0,0,0,4.02,0,92.96,0,0.57,4.02,15.49,0,0,1.15,0.57,0,0.57,0.57,1.15,51.64,0,5.16,16.64,81.48,0.57,0,1.72,0,0,2.3,0,0,0,0,12.62,0,11.48,0,1.15
 60-70,0,0,0,0,4.91,0.98,27.48,0,0.98,0.98,20.61,2.94,0,0,0.98,0,0,0,0,31.41,0,1.96,0.98,59.87,0.98,0,1.96,0,0.98,1.96,0,0,0.98,0,4.91,0,4.91,0.98,0.98
 72-82,0,0,0,0,3.93,0.98,25.52,0.98,0,4.91,24.54,0.98,0,0,1.96,0,0,0,0,60.86,0,0.98,18.65,64.79,0.98,0,0,0,0.98,0,0,0,0,0,3.93,0,7.85,0.98,0.98
 84-94,0,0,0,1.06,6.37,0,23.36,0,1.06,3.19,18.05,4.25,0,0,2.12,0,0,0,1.06,42.48,0,1.06,18.05,47.79,0,1.06,2.12,0,0,1.06,0,0,0,0,1.06,0,10.62,0,0
 96-106,0,0,1.09,0,9.84,0,16.39,0,0,1.09,18.58,1.09,0,1.09,3.28,1.09,0,0,0,46.99,0,2.19,9.84,36.06,0,0,3.28,0,2.19,0,0,0,1.09,0,0,1.09,8.74,1.09,0
108-118,0,0,0.77,0.77,7.66,0.77,24.51,0,0,6.13,32.94,2.3,0,0,9.19,1.53,1.53,0,1.53,45.96,0.77,0,19.15,76.6,0.77,0.77,1.53,0,0.77,3.83,0,0,0,0,1.53,0,12.26,0,0
120,1.96,0,0,0,15.68,1.96,7.84,0,0,3.92,37.24,1.96,0,1.96,9.8,0,0,0,0,41.16,0,1.96,15.68,37.24,1.96,1.96,1.96,0,3.92,3.92,0,0,1.96,0,3.92,0,7.84,0,0
