stage,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,ionocyte,lateral.line,liver,mesenchyme,mucous,neural,olfactory,otic,periderm,spinal.cord,taste,vasculature
  5-6,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 14-21,1,0,0,0,0,2,0,0,0,0,3,0,0,7,0,0,0
 24-34,0,0,0,0.82,0,2.46,0,0,0,0,9.03,0,0,23.8,4.1,0,0
 36-46,0.81,0.81,0,0,0,0,0,0,0,0,16.11,0.81,0,12.89,9.67,0,0
 48-58,0.57,2.3,0,0,0,0.57,0,0.57,0,0.57,10.33,0,0,6.89,3.44,0,0.57
 60-70,2.94,4.91,0,0,0.98,0.98,0,0,2.94,0.98,15.7,0,0,10.8,3.93,0,0
 72-82,0,3.93,0,0,0,0,0,0,0.98,0,9.82,0,0.98,16.69,2.94,0.98,0
 84-94,1.06,5.31,2.12,0,0,1.06,1.06,0,1.06,0,9.56,0,0,40.36,1.06,0,0
 96-106,4.37,1.09,0,0,0,1.09,0,0,0,0,4.37,0,0,32.79,0,0,0
108-118,1.53,1.53,0,0,1.53,0.77,0.77,0,0,0.77,6.13,0,0,19.15,0,0,0
120,1.96,0,0,0,3.92,5.88,1.96,0,0,0,5.88,0,0,17.64,1.96,0,0
