stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1,2,8,3,0,6,0,0,0,3,1,0,1,0,0,0,0,0,0,5,0,0,8,43,0,0,0,0,2,0,7,0,0,5,10,0,0,0,0,0
 24-34,0,0.82,5.75,0.82,0,11.49,0,0.82,0.82,2.46,0,0,0.82,0,0,0,0,0,0.82,10.67,0.82,0,2.46,108.35,2.46,3.28,0.82,0,9.03,0,0,0,0,0.82,29.55,0,0,0.82,0,0.82
 36-46,0,0,5.64,0.81,0,25.78,0.81,0.81,0.81,11.28,0,0,0,0.81,0.81,0,0.81,0.81,0,9.67,0,0.81,4.03,142.6,0.81,0.81,0,0,10.47,0,0,0.81,0,0,33.84,0,0,2.42,0,0.81
 48-58,0,0,4.02,0,0,36.72,1.15,1.15,0.57,12.05,0,0,0.57,0.57,0.57,0,0,0,0.57,27.54,1.15,0.57,7.46,92.96,0.57,1.15,1.15,0.57,7.46,0,0,0.57,0.57,0,32.71,0,0,5.16,0.57,0.57
 60-70,0,0,4.91,0,0,69.69,0.98,1.96,0,24.54,0,0,0.98,1.96,0,0,0,0,0,41.22,0,0.98,0,121.71,1.96,0.98,0,1.96,2.94,0,0,0.98,0,0,26.5,0,3.93,0.98,0,0
 72-82,0,0,5.89,2.94,0,89.33,0,1.96,2.94,29.45,1.96,0,0.98,3.93,0,0,2.94,0,0.98,61.84,0.98,1.96,2.94,128.6,1.96,1.96,3.93,0,6.87,0.98,0,1.96,0.98,0,16.69,0,0.98,4.91,0.98,0.98
 84-94,1.06,0,15.93,5.31,0,44.61,0,2.12,2.12,11.68,3.19,1.06,0,3.19,3.19,1.06,2.12,1.06,0,29.74,0,0,6.37,47.79,0,7.43,3.19,1.06,13.81,0,0,1.06,0,0,11.68,1.06,2.12,3.19,1.06,0
 96-106,3.28,0,16.39,8.74,0,64.48,0,2.19,3.28,25.14,5.46,0,2.19,13.11,3.28,5.46,4.37,1.09,0,37.16,0,5.46,7.65,83.06,1.09,2.19,4.37,1.09,25.14,0,0,2.19,1.09,0,2.19,0,2.19,13.11,0,1.09
108-118,0,0,12.26,4.6,0.77,46.72,2.3,0.77,1.53,25.28,7.66,0,0,3.83,3.83,0,2.3,1.53,1.53,30.64,0.77,0,3.83,94.98,1.53,3.83,5.36,0,12.26,0,0,0.77,0.77,0,0.77,2.3,1.53,6.89,0.77,0.77
120,0,0,13.72,1.96,0,47.03,0,1.96,0,13.72,7.84,0,0,5.88,0,3.92,0,0,0,15.68,0,1.96,1.96,68.59,1.96,3.92,3.92,1.96,3.92,0,0,0,0,0,0,0,0,5.88,1.96,1.96
