stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,spinal.cord,taste,visceral.smooth.muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,0,0,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,11,0,0,0
 24-34,0,0,0.82,0.82,2.46,0,0,0,2.46,0,0,0,0,0.82,0,0,87.01,0.82,2.46,0,0,0,0,0,24.63,0,0,0
 36-46,0,0,0,0,11.28,0.81,0,0,3.22,0,0,0,0.81,0.81,0,0.81,133.74,0,4.03,0,0,0,0,0,31.42,0,0,0.81
 48-58,0,0,1.15,0,40.17,0,0,0,13.77,0,1.15,0,0,2.87,0,0.57,200.26,0.57,4.02,1.15,0,0,0,0.57,32.13,0,0,0
 60-70,0,0.98,0.98,0,118.76,0,0,0,17.67,0,0,0,0,9.82,0,0.98,206.12,0,3.93,0.98,0,0,0,0,25.52,0,0,0
 72-82,0,0.98,1.96,0,208.11,0.98,0,1.96,32.39,0,0,0,0.98,11.78,0,1.96,255.23,0,7.85,0.98,0,0,0,0,23.56,0,0,0
 84-94,0,2.12,2.12,0,105.14,0,1.06,0,19.12,2.12,1.06,0,0,11.68,1.06,0,107.27,0,7.43,3.19,0,0,1.06,0,13.81,1.06,2.12,1.06
 96-106,0,2.19,2.19,0,92.89,0,0,0,21.86,2.19,0,0,1.09,12.02,0,1.09,92.89,0,6.56,2.19,0,2.19,0,0,5.46,1.09,1.09,0
108-118,0,0,0.77,0,74.3,0,0,0,9.96,0.77,0,0.77,0,4.6,0,0.77,101.87,0,3.83,0.77,0,0,0,0,6.89,0,0,0
120,0,0,5.88,0,74.47,0,0,0,25.48,0,0,1.96,1.96,9.8,0,1.96,246.93,1.96,7.84,0,0,0,0,0,3.92,0,0,0
