stage,epidermis,eye,fin.mesenchyme,glial,heart,immune,mesenchyme,muscle,neural,notochord,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,0,0
 36-46,0,0,0,0,0,0,0.81,0.81,0,0,0,0
 48-58,0,0,0,0,0,0,1.72,0,1.15,0,0,0
 60-70,0,0,0.98,0,0,0,0.98,0,0,0,0,0
 72-82,0,0,0,2.94,1.96,0,5.89,1.96,1.96,0.98,0.98,0.98
 84-94,1.06,1.06,0,2.12,0,1.06,4.25,0,0,0,4.25,0
 96-106,0,0,0,1.09,2.19,3.28,6.56,0,2.19,0,4.37,0
108-118,1.53,0,0,3.06,2.3,1.53,3.06,0.77,1.53,0,4.6,0
120,0,0,0,0,0,0,1.96,0,1.96,1.96,3.92,0
