stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,37.76,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,24,3,0,2,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,2,58,38,1,8,4,0,0,3,0,12,23,0,0,0,0,0
 24-34,0,0,0,0,47.61,0,0,3.28,0,2.46,0,3.28,0,0,0,0,0,0,4.93,0,9.03,0,0,1.64,95.22,82.91,0,13.95,0,0,0.82,0,0,3.28,4.1,0,0,0.82,0,0
 36-46,0,0,0,0,21.75,0,0,5.64,1.61,1.61,0,12.09,0,0,0,0,0,0,3.22,0,25.78,0.81,0.81,5.64,74.12,60.43,1.61,11.28,0,0,0.81,0.81,0,0,5.64,0,0,0,0,0
 48-58,0,0,0,0.57,22.95,0,0,5.74,1.72,5.74,1.15,28.12,1.15,0.57,1.15,0,0,0,3.44,0,52.22,0,0.57,12.05,49.92,69.43,2.87,6.89,0,0,0,0,0,0,8.03,0,0,2.3,0,0
 60-70,0,0,0,0,40.24,0,0,11.78,1.96,1.96,0.98,53.98,0,0,0,0,3.93,0,11.78,0,147.23,0,0,24.54,46.13,41.22,1.96,9.82,0,1.96,0,0,0,0,4.91,1.96,0,0.98,0.98,0
 72-82,0,0,0,0,44.17,0.98,0,16.69,2.94,8.83,3.93,77.55,0,0,0.98,0,3.93,0.98,10.8,0,264.07,0,0,26.5,64.79,44.17,2.94,10.8,0,1.96,0.98,0,0,0,1.96,2.94,1.96,4.91,1.96,0.98
 84-94,0,0,0,1.06,72.22,0,0,23.36,1.06,11.68,0,43.54,1.06,0,1.06,0,7.43,2.12,18.05,0,140.19,0,4.25,19.12,46.73,53.1,1.06,23.36,0,0,2.12,0,0,0,3.19,13.81,2.12,3.19,0,0
 96-106,2.19,0,1.09,0,60.11,1.09,1.09,22.95,4.37,2.19,4.37,61.2,4.37,0,0,1.09,8.74,2.19,18.58,2.19,160.65,1.09,4.37,21.86,41.53,36.06,5.46,21.86,0,0,4.37,0,0,0,3.28,26.23,1.09,4.37,1.09,0
108-118,0,0,0,0,55.92,0.77,0.77,16.09,3.06,9.96,2.3,41.36,3.06,0,0.77,0.77,3.83,0,23.74,0,152.43,0,1.53,22.21,36,33.7,6.89,13.02,0,3.06,1.53,0,0.77,0,0.77,52.09,0,1.53,0.77,0
120,0,0,0,0,78.39,0,0,23.52,1.96,3.92,1.96,50.95,7.84,0,0,3.92,1.96,1.96,5.88,3.92,154.82,0,1.96,21.56,39.2,47.03,3.92,7.84,1.96,0,0,0,0,0,0,27.44,1.96,0,0,0
