stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fast.muscle,fin.epithelia,glial,gut,immune,liver,melanocytes,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vasculature,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.42,0,0,0,0,0,7.25,1.61,0,0,0
 48-58,0,0,0,0,0,0.57,0,0.57,0,0,1.72,0,0,1.15,0,1.72,0,0,0.57,0,0,21.23,1.15,0,0,0
 60-70,0,0,0.98,0,0,0,0,0,0,0,5.89,0,0,0.98,0,0.98,0,0,0,0,0,4.91,1.96,0,0,0.98
 72-82,0,0,0,0,0.98,1.96,0,0,0.98,0,7.85,0,0,0.98,0.98,2.94,0,0,0,0,0,6.87,0.98,0,0,0
 84-94,0,0,0,0,0,1.06,0,0,1.06,1.06,5.31,0,0,0,0,3.19,1.06,0,0,0,0,21.24,0,0,0,0
 96-106,0,0,1.09,0,2.19,4.37,1.09,0,3.28,1.09,7.65,0,0,2.19,0,6.56,0,0,4.37,1.09,0,29.51,0,1.09,2.19,0
108-118,0,0,0,0,1.53,4.6,0.77,0.77,0.77,6.89,6.89,0.77,0.77,2.3,0,3.83,0,0,0.77,0,0,35.23,0,0,0,0.77
120,0,0,0,0,0,0,0,0,1.96,1.96,7.84,1.96,0,0,1.96,3.92,0,0,0,0,3.92,11.76,0,0,0,0
