stage,endocrine_pancreas,epidermis,erythrocytes,eye,glial,iridophores,mesenchyme,muscle,neural,periderm,spinal_cord,vasculature
 48-58,0,0,0,1.15,0,0,0,0,0,0,0,0
 60-70,0,0,0,56.93,0,0,0,0,0,0,0,0
 72-82,0.98,1.96,0,200.26,0,0,0.98,0.98,0,0,0.98,0
 84-94,0,1.06,0,195.41,0,0,0,0,1.06,1.06,0,0
 96-106,0,0,0,136.61,1.09,1.09,0,0,0,1.09,0,0
108-118,0,0,0.77,84.26,0,0,0,0,0.77,0,0,0
120,0,0,0,127.39,0,0,0,0,0,0,0,1.96
