stage,blastomeres,endocrine_pancreas,endoderm,epidermis,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,5.26,0,0,0,0,2.63,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,0,2,0,0,0,0,0,0,1,2,0,0,28,0,0,1,0,0,0,12,0,1,1,0,0,0,0,0
 24-34,0,0,0,3.28,0,1.64,0,0,2.46,0,0,0,4.1,12.31,0,0,88.65,1.64,2.46,0.82,0,0,2.46,0,0,0,6.57,0,0,0,0,0
 36-46,0,0,0,0.81,0,0,0.81,0.81,5.64,0,0,0,0,4.83,0,0,148.24,0,3.22,0,0,0,2.42,0,0.81,0,10.47,0,0,0,0,0
 48-58,0,0.57,0,1.15,0,12.05,0.57,1.15,3.44,0,0,0,0,0.57,0,0,109.6,0,2.3,0,0,0,0.57,0,0,0,5.74,0,0,0,0,0
 60-70,0,0,0,0,0,39.26,0,0,4.91,0,0.98,0,0,0.98,0,0,185.51,0,5.89,0,0,0,0,0,0,0,6.87,0,0,0,0,0
 72-82,0,0,0,1.96,0,53.01,0,1.96,12.76,0.98,0,0.98,0,3.93,0,0.98,207.13,0,1.96,0,0,0,0,0,0,0,1.96,0,0.98,0,1.96,0
 84-94,0,2.12,0,2.12,0,29.74,0,1.06,16.99,1.06,1.06,0,0,3.19,0,0,126.38,0,0,0,0,0,0,0,0,0,1.06,1.06,0,0,1.06,0
 96-106,0,0,0,3.28,0,55.74,0,0,7.65,1.09,0,0,0,3.28,2.19,1.09,114.75,0,1.09,1.09,0,1.09,0,0,0,0,1.09,0,0,0,4.37,0
108-118,0,1.53,0.77,1.53,0.77,38.3,0,0,9.96,0,0,0,0.77,4.6,0,0,126.38,0,1.53,0.77,0,0,0.77,0,0,0,1.53,0,0,0.77,6.13,0.77
120,0,0,0,1.96,0,21.56,0,1.96,9.8,0,0,0,0,3.92,0,0,152.86,1.96,0,0,0,0,0,0,0,0,3.92,0,0,0,0,0
