stage,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0
 14-21,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1
 24-34,0,0.82,0.82,0,0,0,0,0,0.82,2.46,0,1.64,8.21,0,0,0,0,0,0,2.46
 36-46,0,0,2.42,0,0,0,0,0,0,0,0,0.81,6.45,0,0,0,0,0,0,5.64
 48-58,0,0,4.02,0,0,0,0,0.57,0,1.15,0,0,8.61,0,0,0,0,0,0,2.87
 60-70,0.98,0,4.91,0,0,0.98,0,0,0,0.98,0.98,0,5.89,0,0,0,0,0,0,0.98
 72-82,0,0,0.98,0,0,0.98,0,0,0,0.98,0,0,6.87,0,0,0,0,0,0,0
 84-94,0,0,1.06,0,0,0,0,0,0,2.12,0,0,4.25,0,0,0,1.06,0,0,0
 96-106,0,0,0,1.09,0,0,0,0,0,1.09,0,0,1.09,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.77,0,0,0,0,0,0,1.53,0,0,0,0.77,0,0,0.77
120,1.96,0,3.92,0,1.96,0,0,1.96,0,0,0,0,15.68,1.96,0,1.96,1.96,0,0,0
