stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,28.92,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,60.46,10.51,0,0,13.14,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.94,0,0,0,9.44,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,1,0,3,0,0,0,0,0,27,0,0,0,0,0
 24-34,0,1.64,0.82,4.93,0,1.64,0,0,0.82,0,0,0,0,0,0,0,0,4.1,0.82,0,2.46,352.97,0,6.57,1.64,0,0,0,0,0.82,91.94,0,0,0,0,0
 36-46,0,0,0,0,0,24.17,0,0,3.22,0,0,0,0,0,0,0,0,0,0,0,0,1056.23,0,9.67,0,0,0,0.81,0,0,228,0,0,0,0,0
 48-58,0,0,0,2.3,0.57,134.84,0.57,0,8.03,0,0,0,0,0,0,0,0,6.89,0,0,0.57,1133.26,0.57,3.44,1.72,0,0,1.15,0,0,247.31,0,0,0,0,0.57
 60-70,0,0.98,0,2.94,0.98,486.83,0,0,10.8,0,0,0,0.98,0,0,0.98,0,11.78,0,1.96,0.98,1839.37,0,7.85,0.98,0,0,0,0,0,375.92,0,0,0.98,0,0.98
 72-82,0,1.96,0,7.85,0,349.47,0,0,18.65,0,0,0.98,0.98,0,0,0,0,14.72,0,0,1.96,1066.08,0,5.89,0,0,0.98,1.96,0,0,186.52,0,0,0,0,0.98
 84-94,0,1.06,0,3.19,1.06,307.99,0,1.06,19.12,3.19,0,0,0,0,1.06,1.06,0,8.5,1.06,1.06,2.12,593.68,1.06,5.31,2.12,0,0,3.19,0,0,113.64,1.06,2.12,3.19,0,0
 96-106,0,1.09,0,6.56,0,161.74,0,0,7.65,1.09,0,0,0,0,1.09,1.09,0,9.84,0,0,1.09,397.8,0,5.46,0,0,0,2.19,0,0,32.79,1.09,0,1.09,1.09,1.09
108-118,0,0,0,6.13,0.77,133.28,0,0,6.13,0.77,0,0,1.53,0.77,0,0,0.77,5.36,0.77,0,0,463.41,0,3.83,0.77,0,0,1.53,0,0,22.98,2.3,0,0,0,0
120,0,0,0,7.84,0,107.79,1.96,0,11.76,0,0,0,0,0,0,0,0,7.84,0,0,1.96,370.4,0,0,0,0,0,1.96,0,0,15.68,0,0,0,0,0
