stage,blastomeres,erythrocytes,eye,glial,gut,lateral.line,liver,mesenchyme,mucous,neural,pericytes,periderm,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0.57,0,0,0,0.57,0,0.57,0,0,0,1.15,0
 60-70,0,0,0,0,0,0,0,5.89,0,1.96,0,0,0,1.96,0
 72-82,0,0,0.98,0,0,0.98,0,18.65,0.98,3.93,0.98,0,0,6.87,0
 84-94,0,1.06,0,1.06,1.06,0,1.06,16.99,1.06,1.06,0,0,0,5.31,0
 96-106,0,1.09,1.09,0,0,0,1.09,17.49,0,7.65,0,0,1.09,6.56,1.09
108-118,0,0,0,0,0,0,0,9.96,0,3.06,0,0,0.77,3.83,0
120,0,1.96,0,0,1.96,0,0,3.92,0,1.96,0,0,0,5.88,0
