stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,spinal.cord,vasculature
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,13.14,2.63,0,0,5.26,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,0,0,1.61,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,1.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0.98,0,0,22.58,0,0,0,0,0,0,0,0,0.98,0,0.98,0,0,0,0,0,0,0
 72-82,0,0.98,0,0,134.49,0,0,0,0,0,0,3.93,0,4.91,0,0,0,0,0,0,0,0.98,0
 84-94,0,1.06,0,0,149.75,0,1.06,0,0,1.06,0,1.06,0,1.06,0,0,0,0,1.06,0,0,0,0
 96-106,0,2.19,1.09,1.09,231.68,0,0,3.28,1.09,1.09,1.09,1.09,0,6.56,0,0,1.09,0,1.09,0,1.09,0,0
108-118,0,0.77,0,0,210.64,0,0,0.77,0,0,0.77,0.77,0,4.6,0,0,0,0,0,0,0,0,0.77
120,0,3.92,3.92,0,254.77,1.96,0,0,0,0,0,0,0,13.72,0,0,0,0,1.96,0,0,0,0
