stage,endocrine.pancreas,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,lateral.line,mesenchyme,mural.cell,muscle,neural,otic,periderm,presomitic.mesoderm,pronephros,spinal.cord,vasculature
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
 24-34,0,0.82,1.64,0,0,0,0,0,0,0.82,0,0.82,4.1,0.82,0,0,0.82,0,0
 36-46,0,0.81,2.42,0,0,0,0,0,0,1.61,0.81,0,10.47,0.81,0.81,0,0,1.61,0
 48-58,0,0,2.87,0,0,0,0,0.57,0,1.15,0,1.15,6.89,0,0.57,0,0,2.3,0
 60-70,0,0,3.93,0.98,0.98,0,0,0,0,3.93,0.98,0,2.94,0,0,0,0,0.98,0
 72-82,0,0,0,0,0,0,0,0,0,3.93,0,1.96,3.93,0,0,0,0,0,0
 84-94,0,1.06,0,0,0,0,1.06,0,0,2.12,0,0,2.12,0,2.12,0,0,0,0
 96-106,0,0,0,0,0,1.09,0,0,1.09,2.19,0,0,2.19,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0.77,0.77,0,3.06,0,0,0,0,0,1.53
120,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
