stage,blastomeres,eye,fast.muscle,glial,ionocyte,mesenchyme,neural,notochord,olfactory,pericytes,periderm,spinal.cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,1.64,0.82,0,0,0
 36-46,0,0,0,0,0,0,3.22,0,0,0,0,0
 48-58,0,0,0.57,0,0,0,0.57,0,0.57,0,0,1.15
 60-70,0,1.96,0,0.98,0,0,2.94,0,0,0,0,0
 72-82,0,2.94,0,0,0,0,7.85,0,0,0,0,0.98
 84-94,0,1.06,0,0,0,0,1.06,0,0,0,1.06,0
 96-106,0,1.09,0,1.09,0,0,3.28,0,0,1.09,0,0
108-118,0,2.3,0,0,0.77,0.77,3.06,0,0,0,0,0
120,0,0,0,1.96,0,0,5.88,0,1.96,0,0,0
