stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,immune,lateral.line,liver,mesenchyme,muscle,neural,otic,pericytes,periderm,pronephros,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,1,0
 24-34,0,0,0.82,0,0,0,0,0,10.67,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,13.7,0,0,0.81,0,1.61,0,0,0,0,0,2.42,0
 48-58,0,0,0,0,0.57,0.57,0,0,13.2,0,0,1.15,0,1.15,0,0,0,0,0,3.44,0
 60-70,0,0,0,0,0,0,0,0,13.74,0,0,0,0,0.98,0,0,0,0,0.98,6.87,0.98
 72-82,0,0.98,2.94,0,0,0,0,0,45.16,0.98,0,0,0,1.96,0.98,0,0,0.98,0.98,6.87,0
 84-94,0,0,3.19,0,0,0,0,0,47.79,0,0,0,0,0,0,0,0,0,0,11.68,0
 96-106,0,0,0,1.09,0,0,1.09,0,77.59,0,1.09,0,0,1.09,0,1.09,0,0,0,12.02,2.19
108-118,0,0.77,0.77,0.77,0,0,0,1.53,55.92,0,0,4.6,0,1.53,0,0,0.77,0.77,0,10.72,0
120,0,1.96,0,0,0,0,0,0,111.71,0,0,0,3.92,1.96,1.96,1.96,0,0,0,25.48,0
