stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,periderm,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,224.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0
  5-6,12.26,85.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,5.26,0,0,0,0,2.63,0,0,0,0,0,0,0,0,10.51,0,5.26,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,110,0,2,0,0,0,0,0,11,0,0,0,0,1,0,0,4,0,0,0,1,1,0,0,0
 24-34,0,0,0,0,0.82,53.36,0,1.64,0,0,0,0,0,28.73,0.82,0,0,0,0,0,1.64,9.03,0,0,0,2.46,3.28,2.46,0,0
 36-46,0,0,0.81,0,0,10.47,0,0,0,0,0,0,0,47.53,0,0,0,0,0,0,0,9.67,1.61,0,0,0,3.22,2.42,0,0
 48-58,0,0,0,0,0,7.46,0,2.87,0,0,0.57,0,0,29.26,0,0.57,0,0,0,0,0,24.67,0.57,0,0,0,6.31,6.31,0,0.57
 60-70,0,0,0,0,0.98,17.67,0,6.87,0,0,2.94,0,0,34.35,0.98,0,0,0,5.89,0.98,0,23.56,0,0,0,0,4.91,5.89,0,0
 72-82,0,0,0,0,0,56.94,0,4.91,0,0,3.93,0,0,61.84,0,0,0,0,7.85,0,0,37.3,0,0,0,0,4.91,11.78,0.98,1.96
 84-94,0,0,0,0,1.06,80.71,0,9.56,0,0,1.06,0,0,83.9,0,0,0,0,5.31,2.12,0,11.68,1.06,0,1.06,0,4.25,14.87,0,0
 96-106,0,0,0,0,1.09,139.88,0,13.11,2.19,1.09,2.19,0,0,112.56,0,0,1.09,0,14.21,1.09,0,19.67,1.09,0,0,0,0,26.23,1.09,2.19
108-118,0,0,0.77,0,3.06,134.04,0.77,3.83,0,0,1.53,0,0,91.92,0,1.53,0,0,6.89,0.77,0.77,23.74,0,0,0.77,0,2.3,21.45,0,0
120,0,0,1.96,0,15.68,190.1,0,5.88,0,0,5.88,1.96,0,97.99,0,0,0,1.96,1.96,0,5.88,31.36,1.96,0,3.92,0,1.96,29.4,1.96,0
