stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,lateral.line,mesenchyme,muscle,neural,olfactory,otic,periderm,pgc,pronephros,spinal.cord
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0
 10-12,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1
 24-34,0,0,0,0,0,0,0,0,0,0.82,0.82,0.82,0,0,0,1.64
 36-46,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,2.42
 48-58,0,0,0,0,0,0.57,0,0,0.57,0.57,1.15,0.57,0,0,0,2.3
 60-70,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0.98
 72-82,0,0,0,0,0,0.98,0.98,0.98,0,0.98,0.98,0.98,0,0,0.98,0
 84-94,0,0,0,0,2.12,0,0,0,0,2.12,1.06,0,0,0,1.06,1.06
 96-106,0,0,0,0,0,0,2.19,0,0,0,1.09,3.28,1.09,0,0,0
108-118,0,0,0,0,0,0.77,1.53,0,0,0,0,0,0,0,0.77,0.77
120,0,0,0,0,0,0,5.88,0,0,0,0,1.96,0,0,1.96,0
