stage,endocrine_pancreas,epidermis,eye,fin_mesenchyme,glial,heart,immune,ionocyte,iridophores,mesenchyme,muscle,neural,notochord,otic,somites,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,1,1,0,0,0,0,0,0,0,3,7,0,0,1,2,0
 24-34,0,0,4.1,0,0,0,0,0,0,2.46,0.82,38.58,0.82,0.82,0,7.39,0
 36-46,0,0,17.72,0,1.61,0,0,0.81,0,4.83,0,63.65,0,0.81,0,8.06,0
 48-58,0,0,14.92,0,1.15,0.57,0,0,0,4.59,1.72,30.41,0.57,0,0,5.16,0.57
 60-70,0,0,10.8,0.98,0,0,0,0,0,3.93,0,13.74,0,0,0,2.94,0
 72-82,0,0,6.87,0,2.94,0,0,0,0.98,4.91,0.98,17.67,0,0.98,0,6.87,0
 84-94,1.06,0,6.37,0,0,0,0,1.06,0,1.06,0,12.74,0,0,0,1.06,0
 96-106,0,1.09,1.09,0,0,0,1.09,0,0,2.19,0,5.46,0,0,0,1.09,1.09
108-118,0,0.77,2.3,0,0,0,0,0,0,3.06,0,9.96,0,0,0,0,0
120,0,0,1.96,0,0,0,0,0,0,0,0,3.92,0,0,0,0,0
