stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,13.14,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.35,0,0,0,18.88,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,14,1,0,11,0,1,0,4,0,0,0,0,0,0,0,0,7,0,5,90,4,1,1,1,0,1,1,7,0,6,41,0,0,1,0,0
 24-34,0,0,0.82,0,3.28,0.82,0,14.78,0,1.64,0,4.1,0,0,0,0.82,0,1.64,0,3.28,20.52,0,11.49,244.62,3.28,2.46,0,0,0,0,0,0,0,1.64,49.25,0,0,4.1,0,1.64
 36-46,0,0,0,0,6.45,0,0,24.98,0,1.61,2.42,9.67,0,0.81,0,0,0,0,0,4.03,23.36,1.61,5.64,387.53,2.42,4.03,0.81,0,0,0,0,0,0.81,0,75.73,0,0,3.22,0,1.61
 48-58,0,0,0,0,2.87,0,0,86.64,0,0.57,4.02,22.38,0,1.15,0,0,0.57,0.57,0.57,4.59,43.61,0,5.74,396.5,1.15,2.87,0.57,0,0,1.72,0,0,0,0,71.15,0,0,5.74,0,1.15
 60-70,0,0,0,0,7.85,0,0,172.75,0,0.98,2.94,20.61,0,0.98,0,0,2.94,0.98,0.98,0.98,64.78,0.98,5.89,449.54,0.98,3.93,0.98,0,0,0,0,0,0,0,57.91,0,0,3.93,0,0.98
 72-82,0,0,1.96,0,5.89,1.96,0,160.01,0.98,0,0.98,26.5,1.96,1.96,1.96,0,3.93,0.98,0.98,2.94,88.35,5.89,6.87,435.86,0,4.91,2.94,0,0,0,0,0,0.98,0,22.58,0,5.89,5.89,3.93,0.98
 84-94,0,0,0,0,3.19,1.06,0,99.83,0,1.06,4.25,23.36,0,1.06,0,0,3.19,0,0,1.06,53.1,4.25,6.37,178.42,1.06,1.06,3.19,0,1.06,1.06,0,0,0,0,12.74,0,4.25,4.25,5.31,2.12
 96-106,0,0,0,0,5.46,0,2.19,93.98,0,0,4.37,12.02,0,0,1.09,0,1.09,1.09,0,1.09,57.92,1.09,4.37,156.28,0,2.19,2.19,0,0,0,0,0,0,0,8.74,0,2.19,5.46,3.28,1.09
108-118,0,0,0,0,4.6,1.53,0,62.04,0,3.06,2.3,10.72,0,0,1.53,0,4.6,0,0.77,2.3,26.81,0.77,2.3,161.62,0.77,3.06,0,0,0,1.53,0,0,0,0,3.83,1.53,0,3.06,1.53,3.83
120,0,0,0,0,7.84,7.84,0,45.08,0,0,0,17.64,0,0,1.96,0,3.92,0,0,0,25.48,3.92,3.92,211.66,0,1.96,0,0,0,1.96,0,0,0,0,7.84,3.92,0,1.96,1.96,0
