stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,lateral.line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,31.54,0,0,0,23.66,0,0,0,0,0
 10-12,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0,330.43,0,0,0,47.2,3.15,0,0,0,0
 14-21,0,50,0,0,0,0,0,2,0,0,2,0,0,142,1,0,0,2,0,0,1,26,1
 24-34,0,25.45,0,3.28,0,0.82,0,15.6,0,2.46,1.64,0,1.64,317.67,1.64,0,0,0,1.64,0.82,0,73.88,0.82
 36-46,0,26.59,0,2.42,0,0.81,0,24.98,0,4.83,0.81,0,0,273.93,0,0,1.61,0,0.81,0,0,57.2,0.81
 48-58,0,22.38,0,6.89,0,1.15,0,31.56,0,4.59,1.72,0.57,0,148.62,0,0,5.74,0,0,0,0,25.82,0
 60-70,0,26.5,0,5.89,0,0.98,0,50.06,0,4.91,1.96,0.98,0,97.17,0,0,7.85,0,0,0,0,13.74,0
 72-82,0,21.6,1.96,12.76,0,1.96,0,53.99,0,11.78,0.98,0,0.98,62.83,0,0,13.74,0,0,0,0,4.91,0
 84-94,0,50.98,0,5.31,0,2.12,2.12,25.49,0,4.25,4.25,0,0,40.36,0,1.06,12.74,0,1.06,0,0,3.19,1.06
 96-106,0,29.51,1.09,5.46,2.19,4.37,0,37.16,0,7.65,3.28,0,1.09,37.16,0,0,32.79,0,0,0,0,5.46,0
108-118,0,60.51,0,6.13,0.77,7.66,0,38.3,0,4.6,1.53,0,0,34.47,0,0,17.62,0,1.53,0,0,2.3,0.77
120,0,74.47,0,1.96,0,13.72,0,43.12,1.96,1.96,9.8,1.96,1.96,47.03,0,0,15.68,0,1.96,0,0,0,0
