stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,2,107,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,1,1,0,101,0,0
 24-34,0,0,0.82,0,16.42,1.64,0,0,0,0,0,15.6,0,0.82,0,0,1.64,0,10.67,1.64,0,0,0,0.82,0,0,0,1.64,2.46,0,343.12,0,0
 36-46,0,0,0,0.81,3.22,1.61,0,0,0,0,0,7.25,0,0,0,0,1.61,0,11.28,1.61,0.81,0,0,0,0,0,0,0,4.03,0,230.42,0,0.81
 48-58,0,0,0,0.57,1.72,3.44,0.57,0,0,0,0,14.35,0,0,0.57,0,0.57,0,10.33,0.57,0,0.57,0,0,0,0,0,0,2.87,0,185.34,0,0
 60-70,0.98,0,0,0,2.94,5.89,0,0,0,0,0,8.83,0,0,0,0,0,0.98,8.83,0,0,0,0,0,0,0,0,0,2.94,0,145.27,0.98,0
 72-82,0,0,1.96,0,0,5.89,0,0,1.96,6.87,0,15.71,1.96,0,0,0,5.89,0,7.85,0,0,0,0,0,0,0,0,0,0,0.98,267.01,0.98,0
 84-94,0,0,0,0,0,3.19,0,0,2.12,4.25,0,7.43,0,0,0,0,1.06,0,5.31,0,0,0,0,0,0,0,0,0,0,0,234.71,1.06,0
 96-106,0,0,2.19,0,1.09,4.37,0,1.09,1.09,4.37,0,19.67,0,0,2.19,1.09,4.37,0,4.37,0,0,0,0,1.09,0,0,0,0,0,0,281.95,1.09,0
108-118,0,0,0.77,2.3,0.77,3.83,0,0,0,3.06,0,10.72,1.53,0,0,0.77,3.06,0.77,6.13,0,0,0,0,0,0,0.77,0,0,0,0,185.36,0,0
120,0,0,0,1.96,3.92,3.92,0,0,0,5.88,1.96,11.76,0,0,0,0,3.92,0,1.96,0,0,0,0,1.96,0,0,0,0,0,0,188.14,0,0
