stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,13.18,289.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,30.65,288.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,10.51,0,0,10.51,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,123.55,13.14,0,0,42.06,0,0,0,0,0,0,0
 10-12,0,6.29,0,9.44,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.32,3.15,0,0,44.06,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35,0,0,1,2,0,1,0,0,2,14,0
 24-34,0,0,0,0.82,2.46,0,9.85,1.64,0,0.82,0,0,0,0,0.82,0.82,0,7.39,0,0,4.93,54.18,0,0,0.82,0,2.46,0,0,0,0,16.42,0.82
 36-46,0,0,0,0,0,0,8.86,0,0,1.61,0,0.81,0,0,0,0,1.61,8.06,0,0,2.42,48.34,0,0.81,1.61,0,0,0,0,0,0,11.28,0
 48-58,0,0,0,0,1.15,0,7.46,0,1.15,3.44,0,0,0.57,1.15,0,0,0,10.33,0,0,1.15,17.21,0,0,0,0,0,0,0,0,0,6.31,0.57
 60-70,0,0,0,0,1.96,0,11.78,0,0,3.93,0,0,0,0,0,0,0,3.93,0,0,1.96,12.76,0,0,0.98,0,0,0,0,0,0,2.94,0
 72-82,0,0,0,0,0,0,3.93,0,0.98,3.93,0,0,0,0,0,0,0,8.83,0.98,0,0.98,15.71,0,0,0,0,0,0,0,0,0,0,1.96
 84-94,0,0,0,0,1.06,0,4.25,1.06,0,2.12,0,1.06,0,0,0,0,0,8.5,0,0,0,3.19,1.06,0,0,0,0,0,1.06,0,0,0,0
 96-106,0,0,0,0,0,0,2.19,0,0,1.09,0,0,1.09,0,0,0,0,3.28,0,1.09,0,3.28,0,1.09,0,0,1.09,0,0,0,0,0,0
108-118,0,0,0,0,0,0,1.53,0,0,0.77,0,0.77,0,0,0,0,0,4.6,0,0.77,0.77,3.06,0.77,0,0.77,0,0,0,0,0.77,0,0,0.77
120,0,0,1.96,0,1.96,0,0,1.96,1.96,0,0,0,0,0,0,0,0,7.84,0,0,0,7.84,0,0,0,0,0,0,0,0,0,0,0
