stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,65.89,1133.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,122.59,1612.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,6.13,0,0,30.65,30.65,0,0,0,0,0,0,0
  7-9,21.03,28.92,28.92,0,0,73.6,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,586.2,13.14,0,0,202.41,0,0,0,0,0,0,0,0
 10-12,3.15,9.44,31.47,0,9.44,59.79,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,481.49,34.62,0,0,188.82,0,0,22.03,0,6.29,0,0,0
 14-21,0,0,1,11,2,3,0,0,0,3,1,0,0,0,0,0,0,1,0,4,0,4,52,4,0,1,1,0,14,2,1,4,22,1,0
 24-34,0,0,0,4.93,0,9.85,0,0,0.82,0.82,0,0,0,0,0,0.82,1.64,0,0.82,20.52,0,4.93,83.73,0,0,2.46,0,1.64,0,0,0,4.1,27.91,3.28,0
 36-46,0,0,0,0.81,0,16.92,0,0.81,0,0.81,0,0,0,0,0,0,0.81,0,0,8.06,0,2.42,48.34,0,0,0.81,0,0.81,0,0,0,0,8.86,2.42,0.81
 48-58,0,0,0,0.57,0,11.48,0,0,0,4.59,0,0,0,0,0,0,0,1.15,0,6.89,0,0.57,29.84,0,0,0,0,0,0,0,0,0,6.31,0.57,0
 60-70,0,0,0,0,0,17.67,0,0,0,1.96,0.98,0,0,0,0,0,0,0,0,4.91,3.93,0,26.5,0,0,0,0,0.98,0,0,0.98,0,8.83,0,0
 72-82,0,0,0,1.96,0,6.87,0,0,0.98,5.89,0,0,0.98,0.98,0,0,0.98,0,0,15.71,0.98,2.94,17.67,0.98,0.98,0.98,0,0.98,0,0,0,0,1.96,0.98,0
 84-94,0,0,0,0,0,7.43,0,0,0,4.25,0,0,0,0,0,1.06,1.06,0,0,6.37,1.06,0,5.31,0,0,0,0,2.12,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,1.09,0,0,2.19,1.09,0,0,0,2.19,0,0,0,0,5.46,0,0,2.19,0,0,0,0,1.09,0,0,0,0,2.19,0,0
108-118,0,0,0,1.53,0,3.06,0,0,0.77,3.06,0,0,0,0,0,0,2.3,0,0,1.53,0,1.53,3.83,0,0,0,0,0.77,0,0,0,0,0,1.53,0
120,0,0,0,3.92,0,3.92,0,0,0,0,0,0,1.96,0,0,0,0,0,0,5.88,0,1.96,7.84,0,0,0,0,0,0,0,0,0,0,0,0
