stage,endoderm,epidermis,eye,fin.epithelia,glial,gut,iridophores,lateral.line,liver,mesenchyme,muscle,neural,olfactory,otic,pronephros,spinal.cord,vasculature
 14-21,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,10.67,0,0,0,0,0
 36-46,0,0,2.42,0,0,0,0.81,0,0,0,0,4.03,1.61,0.81,0,0,0
 48-58,0,0,1.15,0,1.72,0,0,0,0,0,0,2.3,1.72,0,0,0.57,0
 60-70,0,0.98,3.93,0,2.94,0,0,0,0,0.98,0,3.93,0.98,0,0,0,0
 72-82,0,0,2.94,0.98,8.83,0,0,0.98,0,0,0.98,4.91,2.94,0,0,0,0
 84-94,0,0,4.25,0,3.19,0,0,0,1.06,0,0,2.12,1.06,0,1.06,0,0
 96-106,0,1.09,1.09,0,2.19,1.09,0,1.09,0,0,0,1.09,3.28,0,0,0,0
108-118,0.77,2.3,2.3,0,3.06,0.77,0,0,0,0,0,11.49,1.53,0,0.77,1.53,0.77
120,0,1.96,1.96,0,3.92,0,0,1.96,0,0,0,5.88,1.96,0,0,0,0
