stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,6.13,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,2.63,0,0,0,7.89,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,86.75,0,0,0,18.4,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141.61,0,0,0,22.03,9.44,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,106,2,0,3,0,0,0,0,3,0,0,0,3,0,1,0,0,10,1,0,5,21,0,1,6,2,31,1,5,2,6,0,0,0,0,0
 24-34,0,0,0,2.46,30.37,0,0,2.46,0,1.64,0,0,0.82,0,0,0,11.49,0,4.93,0,0.82,3.28,4.93,0,0.82,66.49,0.82,6.57,0.82,0,72.24,0,0,0.82,4.1,0,0,1.64,0,0
 36-46,0,0,0,0,10.47,0,0,8.86,0,1.61,0,0.81,0.81,0,0,0.81,5.64,0,12.09,0,0,4.83,4.03,0,2.42,41.09,0,4.83,0.81,0,76.54,0,0,0,4.83,0,0,0,0,0.81
 48-58,0,0,0,0,13.77,0,0,13.2,0,5.74,0,4.02,0,1.72,0,2.3,5.74,0,9.75,0.57,0,8.61,4.02,0,1.15,44.76,0,2.87,3.44,0,45.9,0,0,0,8.03,0,0,0.57,0,0
 60-70,0,0,0,0,13.74,0,0,14.72,0,1.96,0,2.94,2.94,0,0,2.94,8.83,0.98,13.74,0,0.98,7.85,2.94,0.98,0.98,28.46,0.98,7.85,0,0,53,0,0,0,3.93,0,0,0,0,0
 72-82,0,0,3.93,0,16.69,0.98,0,21.6,0.98,0.98,0,3.93,5.89,0,0,3.93,15.71,0,12.76,0,0,7.85,4.91,0,0,50.06,0.98,7.85,1.96,0,53.01,0,0,0,2.94,3.93,0,3.93,0.98,0.98
 84-94,0,0,0,0,30.8,0,0,13.81,0,5.31,1.06,3.19,9.56,0,0,1.06,7.43,0,18.05,0,0,8.5,5.31,0,3.19,18.05,0,3.19,1.06,0,135.94,0,0,1.06,1.06,5.31,0,0,0,0
 96-106,0,0,4.37,0,51.36,1.09,0,9.84,0,2.19,0,3.28,21.86,0,0,10.93,36.06,0,22.95,0,0,14.21,7.65,0,5.46,28.41,0,15.3,1.09,0,182.51,0,0,0,0,17.49,0,0,0,0
108-118,0,0,2.3,0,41.36,1.53,0.77,8.43,0.77,11.49,2.3,1.53,19.92,0,0.77,7.66,19.15,0,16.85,0,0,8.43,4.6,0.77,0.77,10.72,0.77,6.89,0,0,80.43,0,0,1.53,0,18.38,0.77,0.77,0,0
120,0,0,0,0,45.08,0,0,5.88,0,5.88,1.96,3.92,39.2,0,0,3.92,17.64,0,1.96,0,0,17.64,3.92,1.96,1.96,15.68,0,7.84,0,0,117.59,0,0,1.96,0,9.8,0,0,1.96,1.96
