stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,11,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42,1,1,0,1,0,2,2,0,0,5,18,0,0,1,0,0
 24-34,0,0.82,0,3.28,0.82,0,13.13,0,0.82,0,0,0,0,4.1,0,0,0,0.82,0,6.57,0.82,0,4.1,196.18,0,4.93,2.46,0,0,0.82,0,0,0,0,48.43,0,0,1.64,0,0
 36-46,0,0,0,2.42,0,0,47.53,0.81,0,0,6.45,0,0.81,2.42,0.81,0,0,0,0,12.09,0,0,2.42,367.39,0.81,6.45,2.42,0,0,3.22,0,0,0,0,74.12,0,0,0.81,0,0
 48-58,0,0,0,1.72,0,0,94.68,0.57,1.72,0,12.05,0,0.57,1.15,0,0.57,0,0,0,8.61,0,0,1.72,351.17,0,2.3,0.57,0,0.57,1.15,0,0,0,0,67.14,0,0,1.15,0,0
 60-70,0.98,0,1.96,9.82,0.98,0,208.08,0.98,3.93,0.98,22.58,0,0,4.91,0,0,0,0,0,49.08,0,0,5.89,498.61,0,5.89,4.91,0,0,1.96,0,0,0,0,72.63,0.98,0,2.94,0,0
 72-82,0,0,0.98,1.96,0.98,0.98,208.11,0.98,0.98,0,24.54,1.96,0,12.76,0.98,0,0,0,0,30.43,0.98,0,5.89,464.33,0.98,1.96,1.96,0,1.96,2.94,0,0,0,0,44.17,0.98,0.98,0.98,0,0
 84-94,0,0,1.06,5.31,1.06,0,100.89,0,0,0,16.99,2.12,0,13.81,1.06,1.06,1.06,0,0,12.74,0,2.12,1.06,211.35,0,3.19,3.19,0,0,6.37,0,2.12,1.06,0,38.23,1.06,1.06,5.31,0,0
 96-106,0,0,1.09,2.19,1.09,0,78.68,1.09,1.09,0,9.84,3.28,0,12.02,1.09,0,3.28,3.28,0,6.56,0,1.09,1.09,182.51,0,7.65,5.46,0,0,13.11,0,0,0,0,14.21,2.19,1.09,6.56,0,0
108-118,0,0,0,6.13,0.77,1.53,80.43,0,0,1.53,8.43,1.53,0,7.66,0.77,0,0,0.77,0.77,6.89,0,0,0.77,211.41,0,5.36,1.53,0,0.77,6.13,0,0.77,0,0,11.49,0,0.77,0,0.77,0
120,0,0,0,3.92,3.92,0,80.35,0,0,0,15.68,0,0,17.64,0,1.96,0,0,0,3.92,0,0,1.96,274.37,1.96,9.8,3.92,0,0,5.88,0,1.96,0,0,13.72,0,1.96,3.92,0,1.96
