stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,448.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,177.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,5.26,0,0,0,7.89,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,55.2,2.63,0,0,28.92,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,44.06,0,0,0,0,0,0,0,0,0,0,0,62.94,6.29,0,0,6.29,0,0,3.15,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,1,10,4,0,14,0,0,0,1,0,61,0,0,1,0,0,0,0,3,1,0,5,50,1,0,0,0,0,4,0,5,1,2,10,4,0,0,0,0
 24-34,0,0,0,0.82,1.64,3.28,0,19.7,0,0,0,0.82,1.64,8.21,0,0.82,3.28,0,0,0,0.82,18.06,0.82,0,13.95,64.03,4.93,0.82,0.82,0,0,0.82,0,0,0.82,0,1.64,5.75,0,0,0,0.82
 36-46,0,0,0,0,0,0,0,16.92,0,0,0.81,3.22,0.81,0.81,0.81,1.61,0,0,0,0,0,30.62,3.22,0,12.09,29.81,0.81,1.61,0,0,0,1.61,0,0,0,0,0,6.45,0,0.81,0,0.81
 48-58,0,0,0,0,1.72,1.72,0,12.05,0,0,1.15,4.02,0,1.72,0,0,0.57,1.15,0,1.15,0,33.85,1.15,0,5.74,16.07,0,0.57,0,0,0,1.15,0,0,0,0,0,3.44,0,0.57,0,0
 60-70,0,0,0,0,0.98,4.91,0,12.76,0.98,0,4.91,2.94,0.98,0.98,0,1.96,0,0,0.98,0.98,0,21.59,0.98,1.96,6.87,22.58,0.98,0.98,0,0,0,0,0,0,0.98,0,0,0.98,0,1.96,0,1.96
 72-82,0,0,0,0,2.94,40.25,9.82,18.65,3.93,0.98,2.94,19.63,0.98,0,0,2.94,0.98,0,0,4.91,0,60.86,1.96,0.98,9.82,27.49,0.98,0.98,1.96,0,0,1.96,0,0,0.98,0,0,1.96,0,0.98,0,0
 84-94,0,0,0,0,2.12,38.23,10.62,14.87,0,0,7.43,3.19,0,0,0,4.25,0,0,2.12,2.12,0,35.05,2.12,0,11.68,16.99,0,0,0,0,0,3.19,0,0,0,0,0,0,0,2.12,0,0
 96-106,0,0,0,0,5.46,64.48,41.53,10.93,0,0,6.56,8.74,0,0,0,9.84,0,0,0,7.65,0,39.34,0,0,6.56,18.58,1.09,1.09,3.28,0,3.28,3.28,0,0,0,1.09,0,1.09,1.09,3.28,0,0
108-118,0,0,1.53,0,6.13,41.36,54.38,17.62,3.83,0,4.6,13.02,3.06,0,1.53,3.06,0,0.77,0.77,6.89,0,49.02,0,0,7.66,39.83,2.3,0.77,0.77,0,0.77,0,0,0,0.77,0.77,0,1.53,0.77,1.53,0,0
120,0,0,0,0,13.72,39.2,33.32,19.6,3.92,0,3.92,23.52,3.92,0,0,5.88,0,0,0,9.8,0,21.56,0,1.96,15.68,43.12,0,1.96,0,0,0,1.96,0,0,0,0,0,0,1.96,3.92,1.96,0
