stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.06,0,0,0,18.4,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,9.44,0,0,0,3.15,0,0,0,0,0,25.18,0,0,0,12.59,3.15,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,2,0,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,0.82,0,2.46,0,0.82,14.78,0,0,0,0,1.64,0,4.1,0.82,0,0
 36-46,0,0,0,0.81,0,0.81,0,1.61,0,0,0,0,1.61,0.81,0.81,10.47,0.81,0,0,0,0,0,2.42,0,0,0
 48-58,0,0,0,0,0,2.87,0,0,0,0,0,0.57,2.87,0,0,8.03,0,0,0,0,0.57,0,2.87,0,0,0
 60-70,0,0,0,0,0,0,0,0.98,0,0,0,0,3.93,0,2.94,2.94,0,0.98,0,0,0.98,0,1.96,0,0,0
 72-82,0,0,0,0,0,1.96,0,0.98,0,0,0,0,1.96,0,0.98,3.93,0,0,0.98,0,1.96,0,0.98,0,0,0
 84-94,0,0,0,0,0,1.06,0,0,1.06,0,1.06,0,2.12,0,1.06,1.06,0,0,1.06,0,0,0,1.06,0,0,0
 96-106,0,0,0,0,0,1.09,0,4.37,0,0,1.09,0,6.56,0,0,3.28,0,0,1.09,0,0,0,0,0,0,1.09
108-118,0,0,0,0,0,2.3,0.77,1.53,1.53,0,0,0,0,0.77,0,1.53,0,0,0,0,1.53,0,0,0,0,0
120,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,1.96,1.96,0,0,1.96,0
