stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,periderm,spinal.cord,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0
 24-34,0,0.82,0,0,0,0,0.82,0,0,0,0,0,1.64,0,0,31.19,0,0,0.82,16.42,0,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,0,0.81,0,0,103.13,1.61,0,0,29.81,0,0
 48-58,0,0,0,12.62,0,0,5.16,0.57,0.57,0,0,0,2.3,0,0,249.03,1.15,0,0,48.2,0,0
 60-70,0,0,0,28.46,0.98,0,1.96,0,0,0,0,0.98,1.96,0,0,413.22,0,0,0,72.63,0,0
 72-82,0,2.94,1.96,40.25,0,1.96,4.91,0,0,0,0,0,4.91,0.98,0,374.01,0.98,0,0,48.1,0,0
 84-94,0,3.19,0,32.92,0,1.06,4.25,0,1.06,0,0,0,2.12,1.06,0,170.99,0,0,0,29.74,0,0
 96-106,0,1.09,0,18.58,0,0,10.93,0,0,1.09,1.09,0,1.09,0,0,157.37,3.28,1.09,0,15.3,0,1.09
108-118,0.77,3.06,0,19.15,0,0.77,3.06,0.77,0,0,0,0,4.6,0,0.77,134.04,0,1.53,0,10.72,0.77,0
120,0,7.84,0,33.32,0,0,9.8,0,1.96,0,0,0,3.92,0,1.96,215.58,1.96,0,0,3.92,0,0
