stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,immune,lateral_line,mesenchyme,neural,olfactory,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,39.53,1001.52,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0
  5-6,24.52,147.11,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,5.26,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,1,4,0
 24-34,0,0,0,0,0.82,0,0,0.82,0,0,0,8.21,2.46,0,0.82,0,0,0.82,4.1,0
 36-46,0,0,0,0,0.81,0,0,4.03,0,0,0.81,12.09,4.83,0,0.81,0,0,0,9.67,0
 48-58,0,0,0,0,4.59,0,0,0.57,0,0,0,8.61,2.3,0,0.57,0,0,0,5.74,0
 60-70,0,0,0,0,10.8,0,0,3.93,0,0,0,13.74,2.94,0,1.96,0,0,0,1.96,0.98
 72-82,0,0,0,5.89,13.74,0,0.98,9.82,0,0,0.98,16.69,0.98,0,1.96,1.96,0,0,9.82,0.98
 84-94,0,0,0,3.19,9.56,0,1.06,5.31,0,1.06,0,12.74,2.12,0,4.25,0,0,0,4.25,0
 96-106,0,0,1.09,5.46,12.02,1.09,0,10.93,1.09,0,1.09,13.11,4.37,0,0,0,0,0,3.28,0
108-118,0,0,0.77,6.13,8.43,0,0,6.13,0.77,0,2.3,14.55,0.77,0,3.06,0.77,0.77,0,2.3,0.77
120,0,0,0,5.88,1.96,0,0,5.88,1.96,0,1.96,7.84,1.96,0,3.92,0,0,0,0,0
