stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,2.63,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,3,8,0,0,0,0,0,1,0,1,4,3,0,0,0,0,0
 24-34,0,0,0,0,3.28,0,2.46,0,0,0,2.46,0,0,0,0,0,0,0,0,0,1.64,0,0,2.46,31.19,0,0.82,0,0,18.88,0,0,0,1.64,10.67,0,0,0,0,0
 36-46,0,0,0,0,2.42,0,8.06,0,2.42,0,2.42,0,0,0,0,0,0,0,0.81,0,7.25,0,0.81,3.22,62.04,0,0.81,0,0,25.78,0,0,0,0,16.92,0,0,1.61,0,0.81
 48-58,0,0,0,0,4.02,0,11.48,0.57,0.57,0.57,1.72,0,0,0.57,0,0,0,0,0,1.15,6.89,0.57,0,1.72,56.23,0,0.57,0,0,15.49,0,0,0,0,16.64,0,0,0,0,1.15
 60-70,0,0,0,0,4.91,0,32.39,0,0.98,0,4.91,0,0,0,0,0.98,0.98,0,0.98,0,14.72,0.98,1.96,0,191.4,0.98,0.98,0,0,43.19,0,0,0.98,0,19.63,0,0.98,0,0,1.96
 72-82,0,0,0.98,0,5.89,0.98,32.39,0.98,0.98,1.96,1.96,0,0,0,0.98,0,0.98,0.98,0.98,0,24.54,0.98,0,0.98,107,0,0.98,0,0,32.39,0,0,0,0,12.76,0,0,0.98,1.96,0.98
 84-94,1.06,0,0,0,7.43,0,16.99,1.06,2.12,1.06,7.43,0,0,0,0,2.12,1.06,0,0,2.12,11.68,1.06,1.06,4.25,54.16,0,0,0,0,69.03,0,0,0,0,10.62,1.06,0,0,1.06,0
 96-106,0,0,0,0,8.74,0,13.11,1.09,1.09,1.09,7.65,1.09,0,1.09,2.19,2.19,2.19,1.09,1.09,0,15.3,0,0,6.56,45.9,0,0,0,0,102.73,0,1.09,0,0,5.46,1.09,0,0,0,0
108-118,0,0,0,0,16.85,0.77,8.43,1.53,3.83,0.77,6.13,0,0,0,0,0.77,0.77,0.77,0.77,0,22.21,0,1.53,4.6,68.94,0,2.3,0,0.77,69.7,0,0,0,0,3.06,1.53,0,0,0.77,0
120,0,0,0,0,17.64,0,11.76,0,5.88,0,1.96,0,0,0,5.88,1.96,1.96,0,0,0,17.64,0,0,0,48.99,0,0,0,1.96,92.11,0,1.96,0,0,0,0,0,5.88,0,0
