stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,immune,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0.81,0,0,0,0
 48-58,0,0,0,0,2.3,4.02,0,0,0,0,0,0,1.15,0.57,0,0,5.16,0,0,0,0,2.3,0,0,0,0
 60-70,0,0,0,0,3.93,13.74,0,0,0,0,0,0,0,2.94,0,4.91,6.87,0.98,0.98,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,2.94,9.82,0,0.98,1.96,0,0,0,0,1.96,0,1.96,6.87,0.98,0,0.98,0,1.96,0.98,0,0,0.98
 84-94,0,0,1.06,0,2.12,15.93,0,0,2.12,0,1.06,0,0,2.12,1.06,2.12,11.68,0,0,2.12,0,0,0,0,0,0
 96-106,0,0,1.09,5.46,14.21,18.58,0,0,1.09,1.09,0,0,0,10.93,0,4.37,5.46,0,0,3.28,1.09,2.19,0,1.09,1.09,0
108-118,0,0.77,0.77,0,2.3,22.21,0.77,0,1.53,0,0,0.77,0,1.53,0,4.6,6.89,0,0,0.77,0,2.3,0.77,0,0,0
120,0,0,1.96,0,5.88,11.76,0,0,0,0,0,0,0,0,0,5.88,5.88,0,0,1.96,0,1.96,0,0,0,0
