stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,ionocyte,lateral_line,liver,mesenchyme,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord,taste,vasculature
  3-4,0,395.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,6.13,171.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,6.29,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
 24-34,0,0,0,0,0,4.93,0,0,0,0,0,3.28,0,0,0,10.67,0,0,0,0.82,0,0,0,9.85,0,0
 36-46,0,0,0,1.61,0,6.45,0,0.81,0,0,0,0,0,0,0,37.06,0,0,0,0.81,0,0,0,11.28,0,0
 48-58,0,0,0,2.3,0,2.3,0,0,0.57,0,0,0,0,0,0,20.66,0,0,0,1.15,0,0,0,0.57,0,0
 60-70,0,0,0,4.91,0,16.69,0,0,0,0,0.98,0,2.94,0,0.98,16.69,0,0,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,12.76,1.96,19.63,0,0,1.96,0,0,0,1.96,0.98,3.93,34.36,0,0.98,0,0,0.98,0,0,0,5.89,0
 84-94,0,0,3.19,24.43,0,20.18,0,0,4.25,0,0,3.19,5.31,0,6.37,32.92,0,0,0,2.12,0,0,0,1.06,9.56,0
 96-106,0,0,2.19,22.95,0,21.86,1.09,2.19,0,1.09,0,2.19,1.09,0,5.46,18.58,0,2.19,0,3.28,3.28,0,0,1.09,10.93,0
108-118,0,0,0,10.72,0,18.38,0,0.77,3.06,1.53,0,0.77,1.53,0,3.83,28.34,0,0,0,1.53,0,0.77,0,1.53,17.62,0.77
120,0,0,0,19.6,0,15.68,0,1.96,0,0,0,0,3.92,0,7.84,35.28,0,1.96,0,1.96,0,0,0,0,7.84,0
