stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,immune,mesenchyme,mural_cell,muscle,neural,olfactory,periderm,slow_muscle,spinal_cord
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0
 24-34,0,0,0.82,0,0,0.82,0,0,0,0,0,0,0,7.39,0,0.82,0,0
 36-46,0,0,0,0,0,1.61,0,0,0.81,0,0,0,0,16.11,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0.57,0,0,0,0,5.74,0,0,0,0.57
 60-70,0,0.98,0,0,0.98,0,0,0,0.98,0,0.98,0,0,2.94,0,0,0,0
 72-82,0,0,0,0,0,0,0,0.98,0,0,0.98,0.98,0,4.91,0,0,0,0
 84-94,0,0,0,0,2.12,1.06,0,0,0,0,1.06,0,1.06,3.19,1.06,0,1.06,0
 96-106,0,0,0,0,1.09,0,0,1.09,0,5.46,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.77,0.77,2.3,0,2.3,0,0.77,3.83,3.83,0,0,0,0
120,0,0,0,0,0,0,0,0,0,1.96,0,0,0,1.96,0,0,0,0
