stage,axial,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.epithelia,gut,hatching.gland,heart,immune,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,visceral.smooth.muscle,xanthophores
  3-4,197.67,3320.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.96,0,0,0,0,0,0,0,0
  5-6,67.43,1575.32,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0,61.3,6.13,0,24.52,36.78,0,0,0,0,0,0,0,0
  7-9,18.4,26.29,5.26,0,57.83,0,0,0,5.26,0,0,0,0,0,0,0,399.56,15.77,0,152.47,5.26,2.63,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,37.76,0,0,0,0,0,0,0,0,0,0,0,122.73,9.44,0,59.79,0,3.15,0,3.15,0,0,3.15,0,0
 14-21,0,0,1,13,1,0,0,0,0,0,0,0,1,1,5,1,14,2,0,1,0,1,3,1,1,4,7,0,6
 24-34,0,0,0,0.82,4.1,0,0,0.82,0,0,0,0.82,0,0.82,9.03,3.28,13.95,0,0,0,3.28,0,0,6.57,0,0,2.46,0,18.88
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,9.67,0.81,1.61,1.61,0,0,1.61,0,0,5.64,0,0,0.81,0,3.22
 48-58,0,0,0,1.15,1.15,0,0,0,0,0,0,0,0,0.57,14.92,0.57,1.15,0,0.57,0,0.57,0,0,4.02,0,0,0,0,0
 60-70,0,0,0,0.98,0,0,0,0,0,0,0,0.98,0,0,10.8,0,0.98,0,0,0,0,0,0,3.93,0,0,0,0,0
 72-82,0,0,0,1.96,0,0,0,2.94,0,1.96,0.98,0,0,0,11.78,1.96,3.93,0,0,0,0,0,0,3.93,0,0,0,0.98,0
 84-94,0,0,0,0,1.06,0,0,4.25,0,1.06,0,0,0,0,6.37,0,0,0,0,0,0,0,0,7.43,0,0,0,0,0
 96-106,0,0,0,2.19,0,0,0,1.09,0,0,0,0,0,1.09,3.28,0,1.09,0,0,0,0,0,0,15.3,0,0,0,0,0
108-118,0,0,0,0,1.53,0.77,0,2.3,0,2.3,0,0,0.77,0,3.83,0.77,0.77,0,0,0,0,0,0,3.06,0,0,0,0,0
120,0,0,0,3.92,0,0,3.92,0,0,0,0,0,0,0,1.96,0,1.96,0,0,0,0,0,0,5.88,0,0,0,0,0
