stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,heart,immune,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
 24-34,0,0,0,0,2.46,1.64,0,0,0.82,0,0,1.64,4.1,0.82,0,0.82,13.13,0,0,0.82,0,0,0.82,0,0,11.49,0,4.93,0,0,0,0,0
 36-46,0,0,0,0,4.83,25.78,0,0,1.61,0,0,0,4.03,0,0,0,9.67,0.81,0,0,0,0,0,0,0,25.78,0,7.25,0,0,0,0,0
 48-58,0,0,0,0,4.59,24.67,0.57,2.3,0.57,0,0,1.72,7.46,0,0,5.16,16.64,0,0,0,0,0,0,0,0,36.72,0,1.72,0,0,0,0,0.57
 60-70,0,0,0,0,4.91,36.32,0.98,1.96,0,0,0,2.94,5.89,0,0.98,2.94,7.85,0,0,0,0,0,0.98,0,0.98,26.5,0,1.96,0,0.98,0,0,0
 72-82,0,0,0,0.98,8.83,16.69,0,0,0,0.98,0.98,0,5.89,0.98,0,3.93,15.71,0,0,0,0,0,0,0,0,6.87,0,0,0,0.98,0.98,0,0
 84-94,0,1.06,0,0,3.19,13.81,0,1.06,1.06,0,1.06,2.12,6.37,0,0,4.25,7.43,0,0,0,0,0,2.12,0,0,12.74,0,0,0,1.06,1.06,0,0
 96-106,0,0,1.09,0,3.28,13.11,1.09,0,0,1.09,1.09,0,8.74,0,0,4.37,6.56,0,0,1.09,0,0,1.09,0,0,3.28,0,0,1.09,0,0,4.37,0
108-118,0,1.53,0,0,1.53,18.38,1.53,0,0.77,0,0.77,0,6.13,0,0,6.89,8.43,0,0,0,0,0.77,0,0,0,10.72,0,0,0,0,0.77,0.77,0.77
120,0,1.96,0,0,1.96,27.44,0,0,1.96,0,0,0,5.88,0,0,7.84,7.84,0,0,0,0,0,0,0,0,5.88,0,0,0,0,1.96,0,0
