stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,28.32,0,3.15,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,17,8,0,0,0,3,0,0,0,0,0,0,0,0,0,31,0,0,58,9,1,0,5,0,0,0,7,0,1,40,14,0,0,0,0,0
 24-34,0,0,1.64,31.19,0.82,0,0,0,18.88,5.75,0,1.64,1.64,0,0,0.82,0,0,97.68,0,0,92.76,27.09,1.64,0,11.49,0,0,0,0,0.82,1.64,14.78,18.06,0,0,4.1,0,0
 36-46,0,0,0,10.47,0,0,3.22,0,10.47,20.95,0,0,0,0,2.42,2.42,0,0,109.57,0,0,71.7,27.39,2.42,0.81,12.89,0,0,2.42,0,0.81,0.81,0,7.25,0,0,0.81,0,0
 48-58,0,0,0,9.18,0,0,4.02,0,9.75,28.12,0.57,0,0,0,0,1.15,0.57,0,125.66,0,0.57,44.18,34.43,0,0,5.74,0,0,0.57,0,1.15,0,0.57,7.46,0,0,0.57,0,0.57
 60-70,0,0,0,3.93,0,0,3.93,0.98,8.83,21.59,4.91,0,0,0,0,1.96,0,0,242.44,0,0.98,19.63,31.41,0,0.98,3.93,0,0,0,0,0,0,0,4.91,0,0,0,0,0
 72-82,0,0,0,3.93,0,0,14.72,0,9.82,24.54,5.89,0,0,0,1.96,0,0,0,382.85,0.98,1.96,31.41,33.38,0,0,8.83,0,0,0,0,0,0,0,1.96,0,1.96,0.98,0,0.98
 84-94,1.06,0,0,10.62,0,0,22.3,1.06,13.81,16.99,5.31,0,0,0,1.06,1.06,0,1.06,234.71,0,0,20.18,9.56,1.06,0,8.5,0,0,0,0,3.19,0,0,1.06,0,1.06,0,0,0
 96-106,0,0,0,7.65,0,1.09,10.93,2.19,6.56,18.58,7.65,0,1.09,2.19,0,2.19,0,0,245.89,1.09,1.09,14.21,20.76,1.09,2.19,8.74,0,1.09,1.09,0,1.09,1.09,0,0,1.09,2.19,0,3.28,0
108-118,0,0,0,12.26,0,0,3.06,0,10.72,17.62,7.66,0,0,1.53,0,0.77,0,0,140.17,0,1.53,13.79,11.49,4.6,0.77,8.43,0,0,0,0,1.53,0,0,0,0,0,0,0,0
120,0,0,0,11.76,0,0,3.92,1.96,1.96,5.88,7.84,1.96,0,0,0,1.96,0,1.96,131.31,0,3.92,11.76,23.52,1.96,1.96,9.8,0,0,0,0,0,0,0,0,0,1.96,0,0,0
