stage,blastomeres,epidermis,eye,fin.mesenchyme,glial,gut,melanocytes,mesenchyme,neural,olfactory,paraxial.mesoderm,spinal.cord
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,0,2.63,0
 24-34,0,0,0,0,0,0,0,0,3.28,0,0,0
 36-46,0,0,0,0,0.81,0,0,0,19.34,0,0,3.22
 48-58,0,0,0,0,0,0,0,1.72,58.53,0,0,5.74
 60-70,0,0,1.96,0,1.96,0,0,2.94,193.36,0,0,7.85
 72-82,0,0,13.74,0,0.98,0.98,0.98,1.96,254.25,0,0,17.67
 84-94,0,0,9.56,1.06,4.25,0,0,1.06,133.82,0,0,5.31
 96-106,0,0,16.39,1.09,4.37,0,0,2.19,126.77,0,0,5.46
108-118,0,2.3,5.36,0,3.06,0,0,2.3,119.49,0,0,3.83
120,0,0,3.92,0,0,0,0,1.96,123.47,1.96,0,0
