stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,slow_muscle,spinal_cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,2.63,0,0,0,0,0
 10-12,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,0,9.44,0,0,0,0,0
 14-21,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,1,10,0,0,0,1,0,0,0,2,1
 24-34,0,0,0,0,0,2.46,0,0,0,0,0,0,0,0,0,0.82,2.46,0,0,10.67,0,0,0,0,0,0,0,4.93,0
 36-46,0,0,0,1.61,0,1.61,0,0,0,0.81,0,0,0.81,0,0,0,0.81,0.81,0.81,41.09,1.61,0.81,0,0,0,2.42,0.81,8.06,0
 48-58,0,0,0,0.57,0,5.74,0,0,0,2.3,0,0,0,0.57,0,0,3.44,0,0,31.56,0,0,0,0,0,1.72,0,8.61,0
 60-70,0,0,0,1.96,0,12.76,0.98,0,0,1.96,0.98,0,0,0.98,0,0,3.93,0,0.98,60.85,0,0,0,0,0,0.98,0.98,3.93,0
 72-82,0,0,0,1.96,0,45.16,0,0,0.98,2.94,0,0,0,0,0,0,7.85,0,0,95.22,0,0.98,1.96,0,0,0,0,0.98,0.98
 84-94,0,1.06,0,2.12,0,25.49,0,1.06,0,3.19,0,0,2.12,0,0,0,5.31,0,0,54.16,0,3.19,2.12,0,0,3.19,0,2.12,1.06
 96-106,0,0,0,4.37,2.19,37.16,2.19,0,0,1.09,1.09,1.09,1.09,0,2.19,0,5.46,0,0,51.36,0,0,0,0,1.09,0,0,0,2.19
108-118,0,0,0,0.77,0,22.98,0,0,0,2.3,0.77,0,0,0,0,0,4.6,0,0.77,62.04,0,1.53,0.77,0,0,0.77,0.77,0.77,1.53
120,0,0,0,13.72,1.96,23.52,0,1.96,0,0,0,0,0,0,1.96,0,3.92,0,0,62.71,1.96,0,0,0,0,3.92,0,0,0
