stage,blastomeres,eye,gut,iridophores,mesenchyme,muscle,neural,notochord,periderm,spinal.cord
  3-4,26.36,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,2.63,2.63,0,0
 10-12,0,0,0,0,0,0,12.59,0,0,0
 14-21,0,1,0,0,2,0,1,0,0,0
 24-34,0,1.64,0,0,3.28,0.82,0.82,0,0.82,0.82
 36-46,0,0,0,0.81,1.61,0,0.81,0,0.81,0
 48-58,0,0,0,0,2.3,0,2.3,0,0,0.57
 60-70,0,0,0,0,1.96,0,1.96,0,0,0.98
 72-82,0,0,0,0,0,0,0.98,0,0,0
 84-94,0,0,0,0,1.06,0,1.06,0,0,0
 96-106,0,0,0,0,2.19,0,0,0,0,0
108-118,0,0,1.53,0,0,0,0,0,0,0
