stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1,2,7,1,0,2,0,1,0,0,2,1,0,0,2,0,0,0,0,2,0,0,1,20,2,5,1,0,78,3,1,0,1,17,0,0,0,0,0
 24-34,3.28,0.82,15.6,0.82,0,3.28,0,9.85,0,0.82,1.64,0,2.46,0.82,14.78,0,1.64,0,0,13.13,3.28,0,4.1,110.82,1.64,28.73,2.46,0,395.65,0,4.93,0,0,36.94,0,0,7.39,0,0.82
 36-46,0,0.81,9.67,0.81,0,8.06,0,4.03,0.81,4.03,0,0,1.61,1.61,8.06,0,1.61,0,0,6.45,6.45,0,2.42,134.55,3.22,18.53,1.61,0,411.7,0,4.83,0,0,43.51,0,0,4.03,0,0.81
 48-58,0,0,5.16,0.57,0,27.54,0,5.74,0,7.46,0,1.72,0,0,4.59,0.57,2.3,0,1.72,17.79,6.31,1.72,2.3,130.25,0.57,14.92,2.3,0,367.81,0,2.3,0,0,39.02,0,0,5.74,0,1.72
 60-70,0,0,14.72,0,0,41.22,0,11.78,0.98,11.78,0.98,0.98,0.98,2.94,5.89,0.98,1.96,0.98,0.98,27.48,2.94,0.98,3.93,117.78,0,12.76,3.93,0,278.75,0,3.93,0,0,38.28,0,0,4.91,0,2.94
 72-82,2.94,0,19.63,13.74,0,107,0,5.89,3.93,22.58,3.93,0.98,0,7.85,7.85,0.98,0.98,0.98,1.96,50.06,5.89,0,2.94,142.34,0,24.54,9.82,0,200.26,0,1.96,0,0,20.61,8.83,0.98,11.78,1.96,2.94
 84-94,1.06,0,31.86,6.37,0,60.54,1.06,12.74,1.06,11.68,10.62,3.19,3.19,1.06,7.43,3.19,1.06,2.12,0,23.36,9.56,1.06,0,73.28,2.12,19.12,6.37,0,402.51,0,9.56,0,0,11.68,3.19,0,16.99,0,2.12
 96-106,2.19,0,73.22,12.02,0,76.5,1.09,13.11,0,19.67,9.84,0,3.28,8.74,21.86,2.19,4.37,2.19,1.09,31.69,8.74,1.09,3.28,89.61,1.09,50.27,10.93,0,408.72,0,3.28,0,0,2.19,7.65,0,18.58,1.09,2.19
108-118,2.3,0.77,52.85,3.06,2.3,72,0.77,13.02,1.53,21.45,19.92,0,0,3.06,14.55,4.6,4.6,0.77,1.53,39.06,6.13,0,2.3,114.13,0.77,25.28,3.06,0.77,207.58,0,3.83,0.77,0,5.36,10.72,0.77,11.49,1.53,1.53
120,1.96,0,62.71,9.8,0,47.03,1.96,9.8,0,19.6,19.6,0,3.92,7.84,13.72,3.92,5.88,5.88,5.88,15.68,7.84,3.92,5.88,123.47,0,23.52,7.84,0,209.7,0,13.72,1.96,0,3.92,5.88,1.96,13.72,0,0
