stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,487.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,153.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,7.89,5.26,0,0,0,42.06,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,197.15,7.89,0,0,76.23,0,2.63,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,6.29,0,6.29,0,40.91,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,283.23,6.29,0,0,141.61,0,3.15,0,6.29,9.44,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,11,4,0,3,0,0,0,1,0,0,0,0,0,0,0,0,3,0,5,53,0,0,0,0,0,6,0,18,2,4,25,15,0,0,0,0,0
 24-34,0,0,0,2.46,0.82,0,9.03,0,0,0.82,2.46,0,0,0,0,0,0,0,0.82,9.85,0,4.1,50.07,0,0.82,0,0,0,0,0,0,0,1.64,4.1,18.88,0,0,0,0,0
 36-46,0,0,0,0.81,0,0,16.11,0,0,0,4.03,0,0,0.81,0,0,0,0.81,0,6.45,0,6.45,33.03,0,0,0.81,0,0,0,0,0,0,0,0.81,12.09,0,0,0.81,0,0.81
 48-58,0,0,0,1.15,0.57,0,28.12,0.57,0,0.57,4.02,0.57,0,0,0,1.15,0,0.57,0.57,13.77,0,1.15,20.08,0,0,0,0,0,0,0,0,0.57,0,0,4.02,0,0,1.72,0,0
 60-70,0,0,0,0.98,0,0,38.28,0,0,0,4.91,0.98,0,0,1.96,0,0,0,0,13.74,1.96,2.94,22.58,0,0.98,0,0,0,0,0,0,0,0.98,0,1.96,0,0.98,2.94,0,0
 72-82,0,0,0,1.96,4.91,0,39.27,1.96,0,2.94,7.85,0,0,0,0,0,0,0,0,19.63,1.96,2.94,18.65,0,0,0.98,0,0,0.98,0,0,0,0,0,0,0,0,0.98,2.94,0
 84-94,0,0,0,1.06,5.31,1.06,35.05,0,0,0,8.5,0,0,0,0,0,0,0,0,11.68,0,6.37,12.74,0,1.06,1.06,0,0,0,0,0,0,0,0,1.06,1.06,0,4.25,5.31,0
 96-106,0,0,0,3.28,4.37,0,18.58,0,0,0,2.19,0,0,1.09,0,0,0,0,0,18.58,0,5.46,22.95,0,0,0,0,1.09,1.09,0,0,0,0,0,1.09,1.09,3.28,1.09,0,1.09
108-118,0,0,0,1.53,2.3,0.77,16.09,0,0.77,0,8.43,0.77,0,0,0.77,0,0.77,0,0.77,11.49,0,6.89,26.04,0,0.77,1.53,0,0,1.53,0,0,0,0.77,0,0.77,0.77,0.77,1.53,2.3,0.77
120,0,0,0,0,5.88,0,7.84,0,1.96,0,3.92,0,0,0,0,1.96,0,1.96,0,21.56,1.96,7.84,15.68,0,0,0,0,0,7.84,0,0,1.96,0,0,0,0,0,1.96,0,0
