stage,blastomeres,eye,fast.muscle,fin.epithelia,glial,gut,mesenchyme,muscle,neural,paraxial.mesoderm,pericytes,periderm,somites,spinal.cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,6.29,3.15,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,2,0,0,0,2,4,0
 24-34,0,0,0,0,0,0,0,0,4.1,0,0,0,0,2.46,0
 36-46,0,0.81,0,0,0.81,0,0,0.81,3.22,0,0,0,0,0.81,0.81
 48-58,0,0.57,0.57,0,0,0.57,0,0,4.59,0,0,0,0,0.57,0
 60-70,0,4.91,0,0,0,0,0,0,5.89,0,0,0.98,0,0,0
 72-82,0,1.96,0,0,0,0,0.98,0,8.83,0,0.98,0,0,0,0
 84-94,0,1.06,0,0,1.06,0,1.06,0,6.37,0,0,0,0,0,0
 96-106,0,2.19,0,0,0,0,2.19,0,5.46,0,0,0,0,0,0
108-118,0,0,0,0.77,0,0,0,0,2.3,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0
