stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,39.53,355.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,0,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,7.89,0,0,7.89,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,63.09,0,0,31.54,0,0,0,0,0,0,0,0
 10-12,0,3.15,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.56,0,0,37.76,0,0,0,0,3.15,0,0,0
 14-21,0,0,2,1,0,2,4,0,0,0,0,1,0,0,0,0,6,0,0,2,58,2,0,0,0,4,0,2,23,0,0,0
 24-34,0,0,0,2.46,0,13.13,1.64,0,0,0,0,0.82,0,0,0,0,4.93,0,0,4.1,78.8,0.82,0,0,3.28,0,0,0,22.16,0,1.64,0
 36-46,0,0,0,2.42,0,46.73,2.42,0,0,0,0,0,0,0,0.81,0,1.61,0,0,3.22,79.76,1.61,0.81,0,1.61,0,0,0,15.31,0,0.81,0
 48-58,0,0,0,0,0,30.41,1.15,0,0,0,0.57,0,0,0,0.57,0.57,5.16,0.57,0.57,1.15,33.85,0.57,0,0,1.72,0,0,0,4.59,0,0,0.57
 60-70,0,0,0,2.94,0,27.48,2.94,0,0,0.98,0,0,0,0.98,0,0,2.94,0,0,0.98,18.65,0,0,0,0.98,0,0,0,0.98,0,0,0
 72-82,0,0,0,4.91,0,7.85,2.94,0,0,0,0,0,0,0,0,0,3.93,0,0,0.98,14.72,0,0.98,0,1.96,0,0.98,0,1.96,0,0.98,0
 84-94,0,0,0,1.06,0,10.62,0,1.06,0,0,0,0,1.06,0,1.06,0,2.12,0,0,0,9.56,1.06,0,0,1.06,0,0,0,0,0,2.12,1.06
 96-106,0,0,0,4.37,0,7.65,2.19,1.09,0,0,1.09,0,0,0,0,0,3.28,0,0,0,9.84,0,0,0,2.19,0,0,0,0,0,0,0
108-118,0,0,0,3.83,0.77,10.72,0,1.53,0,0,0,0.77,0,0,0,0,0.77,0,0,2.3,16.85,0.77,0,0,0.77,0,0,0,0,0,0,0
120,0,0,0,0,0,5.88,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,7.84,0,0,0,0,0,0,0,0,1.96,0,0
