stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,63,4,0,0,0,0,0,0,1,0,0,0,0,0,0,19,0,17,11,3,0,0,0,1,3,0,4,3,0,0,1,0,0
 24-34,0,0,14.78,0.82,0,2.46,0,0,0,0,1.64,3.28,0,0,1.64,0,0.82,18.06,0,10.67,13.95,0,0,0,0.82,0.82,0,0,0,0,0,0,4.1,0,0
 36-46,0,0,9.67,0,0,0.81,1.61,0,0.81,0,2.42,3.22,0,0,0.81,0,0.81,37.06,0,8.86,10.47,0.81,0,0,0,0,0,0,0,0.81,0,0,6.45,0,0.81
 48-58,0,0,2.3,0,0,1.15,1.15,0,0.57,0,0.57,2.3,0,2.87,0,0,4.02,25.82,0.57,5.74,8.03,0,0,0,0,0.57,0,0.57,0,0.57,0,0.57,1.15,0,0
 60-70,0,0,13.74,0,0,1.96,0.98,1.96,6.87,0,0,9.82,0,0.98,0,0,0.98,63.8,2.94,4.91,7.85,0,0,0,1.96,0.98,0,0,0,0,0.98,2.94,3.93,0,1.96
 72-82,0,0.98,8.83,0.98,0,3.93,0,0.98,4.91,0.98,0,7.85,0,1.96,0.98,0,0.98,65.77,4.91,4.91,8.83,0,0,0,1.96,0,0,0,0,0,0,1.96,0.98,2.94,0
 84-94,0,0,19.12,0,0,4.25,4.25,0,3.19,0,0,22.3,0,7.43,1.06,0,3.19,55.23,6.37,2.12,10.62,0,0,0,3.19,1.06,0,0,0,0,0,1.06,4.25,1.06,3.19
 96-106,0,0,28.41,1.09,0,5.46,3.28,1.09,6.56,0,5.46,25.14,1.09,9.84,0,0,1.09,76.5,4.37,4.37,19.67,0,3.28,0,5.46,3.28,0,0,0,1.09,0,0,7.65,3.28,1.09
108-118,0,0.77,36,0.77,0.77,3.06,9.19,3.06,9.19,0.77,0,16.85,0.77,12.26,2.3,0.77,6.89,60.51,6.13,6.89,13.79,0,0,0,3.83,1.53,0,0,0,0,0.77,2.3,6.13,2.3,2.3
120,0,0,33.32,0,1.96,1.96,5.88,0,5.88,0,1.96,31.36,0,3.92,3.92,0,3.92,41.16,1.96,3.92,25.48,0,0,0,3.92,0,0,0,0,0,0,0,11.76,1.96,1.96
