stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,0,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,91.94,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,23.66,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,34.62,0,0,0,15.73,0,0,3.15,0,0,0
 14-21,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,1,0,2,0,0
 24-34,0,0,0,1.64,2.46,0,0,0,0,0,0,0,0,0,6.57,0,1.64,45.97,0,0,0,0,0,0,0.82,6.57,2.46,0
 36-46,0,0,0,0.81,4.83,0,0,1.61,0,0,0,0,0,0,1.61,0,0,30.62,0.81,0,0,0,0.81,0,0,5.64,0.81,0
 48-58,0,0,0,0,8.03,0,0,3.44,0,0,0.57,0.57,0.57,0,5.16,0,0.57,34.43,1.15,0.57,0.57,0,0,0,0,4.59,0.57,0
 60-70,0,0,0,0.98,16.69,1.96,2.94,1.96,0.98,0,0,0,0,0.98,2.94,0.98,0.98,34.35,0,0,0.98,0,1.96,0,0.98,7.85,0.98,0
 72-82,0,0,0,0,9.82,0,0,7.85,0.98,0.98,0,0,0,0,3.93,0,0,14.72,0,0.98,1.96,0,0.98,0,0,1.96,0.98,0
 84-94,0,0,0,0,4.25,0,0,1.06,0,0,0,0,0,0,2.12,0,0,8.5,0,0,0,0,1.06,0,0,2.12,0,1.06
 96-106,0,0,0,0,7.65,0,0,4.37,0,0,0,0,0,0,2.19,0,0,14.21,0,0,0,0,1.09,0,0,0,0,0
108-118,0,0,0,1.53,3.06,0.77,0,0.77,0,0,0,0,0,0,3.83,0,1.53,7.66,0,0,0,0,0,0,0,0,0.77,0
120,0,0,0,0,1.96,1.96,0,1.96,0,0,0,0,0,1.96,9.8,1.96,1.96,41.16,0,0,3.92,0,5.88,0,0,0,0,0
