stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,10,0,0,0,0,0,0,1,0,3,6,0,0,0,0,0
 24-34,0,0.82,0.82,0.82,0,0,4.93,0,0,0,0,0,0.82,0,0,0,0,9.03,22.98,0,0,4.93,105.89,0,5.75,0,0,0,0.82,4.1,0,4.93,24.63,0,0,10.67,0,0
 36-46,0,0,0,0.81,0,0,9.67,0,0.81,7.25,1.61,0,0.81,0,0,0,0,8.06,47.53,0,0,13.7,261.04,0,6.45,0.81,0,0.81,0,0.81,0,0,37.87,0,0,16.11,0,0
 48-58,0,2.3,0,2.3,0,0,40.74,0.57,0.57,9.75,3.44,0,1.72,0,0,0,0,9.75,100.99,0,0.57,10.9,495.19,0,5.16,1.15,0,0.57,4.02,1.15,1.15,0,64.84,0,1.72,13.77,1.15,1.72
 60-70,0,0.98,0,0.98,1.96,0.98,149.19,0,0,7.85,19.63,0,0.98,0.98,0.98,0,0,11.78,182.56,0.98,11.78,11.78,830.37,0,4.91,1.96,0,5.89,5.89,1.96,0,0,143.3,0,6.87,6.87,0,0.98
 72-82,0,4.91,0,7.85,2.94,0,233.64,3.93,0.98,12.76,51.05,0.98,0.98,5.89,0,0,0.98,50.06,297.44,0.98,24.54,10.8,766.68,0,4.91,1.96,0,6.87,3.93,3.93,0,0,72.64,0.98,23.56,19.63,19.63,0
 84-94,0,4.25,0,4.25,0,0,164.62,3.19,0,7.43,41.42,0,0,3.19,1.06,2.12,1.06,130.63,207.1,1.06,21.24,7.43,432.25,0,1.06,8.5,0,6.37,8.5,3.19,1.06,0,52.04,0,18.05,20.18,12.74,0
 96-106,0,8.74,0,12.02,1.09,0,150.81,4.37,0,7.65,43.71,2.19,3.28,4.37,6.56,1.09,1.09,319.11,244.8,2.19,29.51,5.46,393.42,0,9.84,6.56,0,16.39,18.58,2.19,0,0,32.79,1.09,22.95,26.23,26.23,2.19
108-118,0,2.3,0,5.36,0.77,0.77,125.62,0.77,0.77,5.36,31.4,3.83,2.3,6.13,2.3,2.3,0.77,536.94,199.15,1.53,25.28,5.36,436.6,1.53,8.43,7.66,0,16.85,4.6,3.83,0.77,0,20.68,2.3,15.32,20.68,13.79,2.3
120,0,1.96,0,9.8,0,1.96,158.74,0,3.92,3.92,23.52,1.96,3.92,0,1.96,0,1.96,233.21,131.31,0,37.24,9.8,478.19,0,5.88,3.92,1.96,13.72,0,5.88,0,0,19.6,0,17.64,13.72,19.6,0
