stage,axial,blastomeres,erythrocytes,eye,glial,gut,immune,mesenchyme,muscle,neural,paraxial.mesoderm,presomitic.mesoderm,pronephros,somites,vasculature
  3-4,26.36,289.91,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,104.2,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,5.26,7.89,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,1,0,5,0
 24-34,0,0,0,0.82,0,0,0,0,0.82,1.64,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,2.42,0,0,0,0,0
 48-58,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,2.94,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,1.06,1.06,3.19,0,0,0,0,0
 96-106,0,0,1.09,0,1.09,1.09,1.09,0,0,0,0,0,0,0,1.09
108-118,0,0,0,0.77,0,0,0,0,0,0.77,0,0,0,0,0
