stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,224.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,13.14,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,65.72,5.26,0,0,31.54,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.73,9.44,0,0,69.23,0,0,0,3.15,9.44,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,13,2,0,8,1,0,15,0,0,0,0,0,0,0,0,0,3,0,3,68,1,3,2,2,0,1,0,11,12,0,20,51,0,0,1,0,0
 24-34,0,0,0,0.82,7.39,0,0,18.06,0,1.64,8.21,0,0,1.64,0,0,0,2.46,0,0,13.13,0,4.93,127.23,0,4.93,1.64,0,0,4.1,0,0,6.57,0,2.46,45.97,0,0,0,0,0
 36-46,0,0,0,0,3.22,0.81,0,22.56,0.81,0,12.09,0.81,0.81,1.61,0,0,0,0,0.81,0,16.92,0,3.22,80.57,1.61,4.83,0.81,0,0,2.42,0,0.81,6.45,0,0,32.23,0,0,2.42,0,0
 48-58,0,0,0,0,0,1.15,0,18.36,0,0.57,10.33,0.57,0,0,0,0,0,1.15,0,0.57,19.51,0.57,3.44,34.43,0.57,6.89,0,0,0,0.57,0,0,1.72,1.15,0,23.53,0,0,2.3,0,1.15
 60-70,0,0,0,0,3.93,1.96,0,19.63,0,0,8.83,0,0,0.98,0,0.98,0.98,0.98,0,0,26.5,0,0,21.59,0,8.83,0,0,0,0.98,0,0,0,0,0,12.76,0.98,0,0.98,0.98,0.98
 72-82,0,0,1.96,0,2.94,26.5,0,9.82,0,0,14.72,0,0,0.98,0,0,0,1.96,0,0.98,42.21,1.96,1.96,20.61,0,7.85,1.96,0,0,2.94,0,0,1.96,0,0,6.87,7.85,0.98,3.93,0,0
 84-94,0,0,2.12,0,7.43,27.61,0,14.87,1.06,2.12,5.31,3.19,0,0,1.06,1.06,0,0,0,0,22.3,2.12,3.19,7.43,0,13.81,1.06,0,0,9.56,0,0,2.12,0,0,1.06,8.5,1.06,3.19,1.06,0
 96-106,0,0,2.19,0,5.46,18.58,1.09,4.37,2.19,0,13.11,2.19,0,1.09,4.37,2.19,0,6.56,1.09,1.09,22.95,1.09,1.09,15.3,0,12.02,5.46,0,1.09,7.65,0,0,3.28,0,0,3.28,2.19,0,1.09,2.19,1.09
108-118,0,0,0,0,11.49,13.02,1.53,7.66,0,1.53,11.49,0.77,0,0,0,0.77,1.53,1.53,0.77,0.77,16.09,0,0,13.02,0,3.83,1.53,0,0,7.66,0,0,1.53,0,0,6.13,3.06,0.77,2.3,0.77,2.3
120,0,0,0,0,1.96,13.72,0,0,1.96,0,9.8,1.96,0,0,0,1.96,0,0,0,0,1.96,1.96,0,7.84,1.96,5.88,5.88,0,0,0,0,0,1.96,0,0,0,1.96,1.96,1.96,0,0
