stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487.58,0,0,0,0,0,0,0,0,0
  5-6,6.13,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,514.89,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,31.54,2.63,0,0,15.77,94.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,40.91,0,0,0,22.03,37.76,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,5,1,0,0,1,469,0,0,1,1,0,0,0,0,0
 24-34,0,0,0,0,8.21,0,0,8.21,0,1.64,0,0,0,0,0,0,6.57,0,0.82,0.82,0,5.75,14.78,0,1.64,68.13,0.82,0,0.82,0,1225.54,0,0,0,9.03,0,0,2.46,0,0.82
 36-46,0,0,0,0,0.81,0,0,6.45,0,4.03,0,2.42,0,0,0.81,0.81,7.25,0,0,0,0,4.03,10.47,0,0.81,31.42,0.81,0.81,0.81,0,1255.23,0,0,0,6.45,0,0,2.42,0,0
 48-58,0,0,0,0,1.72,0.57,0,13.2,0,12.05,1.15,4.02,0,0.57,0,0,4.02,0,0,0.57,0.57,8.03,8.61,0,2.3,41.89,0.57,1.15,0,0,1068.42,0,0,0,8.61,0,0,0.57,0,0
 60-70,0,0,0,0,5.89,0,0,13.74,0,16.69,0,1.96,0,0,0,0,7.85,0,0,0,0,4.91,7.85,0,0,30.43,0,0,0,0,1152.31,0,0,0,4.91,0,0,0,0,2.94
 72-82,0,0,0,0,11.78,0.98,0,21.6,0.98,21.6,0.98,5.89,0.98,0,0,0,20.61,0,0.98,0.98,0,9.82,7.85,0,0.98,48.1,0.98,0.98,1.96,0,1201.55,0,0,0,0.98,0.98,0.98,1.96,0,0.98
 84-94,0,0,0,0,28.68,6.37,0,30.8,1.06,65.85,0,2.12,3.19,0,1.06,0,63.72,2.12,0,1.06,0,12.74,27.61,0,0,22.3,0,0,1.06,0,3856.26,0,1.06,0,0,1.06,0,3.19,0,0
 96-106,0,0,1.09,0,43.71,6.56,0,72.13,1.09,72.13,0,5.46,6.56,0,0,2.19,52.46,1.09,3.28,4.37,0,16.39,33.88,2.19,4.37,65.57,0,1.09,0,0,3055.6,0,1.09,0,2.19,1.09,0,1.09,0,2.19
108-118,0,0,0.77,0,26.81,0,2.3,72.77,0.77,62.81,0.77,3.83,3.06,0,0.77,0.77,49.02,0,0.77,2.3,0.77,9.19,44.43,0.77,3.06,41.36,0,0.77,0,0,2306.31,0,0,0,0,1.53,0.77,1.53,0.77,0
120,0,0,0,0,21.56,5.88,0,29.4,0,58.79,0,3.92,1.96,0,0,1.96,35.28,0,0,1.96,0,11.76,21.56,0,1.96,33.32,1.96,3.92,0,0,1463.96,0,0,0,1.96,0,0,0,0,1.96
