stage,endocrine.pancreas,epidermis,eye,fast.muscle,glial,gut,melanocytes,mesenchyme,mucous,muscle,neural,pronephros,spinal.cord
 14-21,0,0,0,0,0,0,0,0,0,1,3,0,0
 24-34,0,0,0,0,0,0,0,0.82,0.82,0,6.57,0,2.46
 36-46,0,0,0,0,0,0,0,0.81,0.81,0,11.28,0,1.61
 48-58,0,0,1.72,0,0.57,0,0.57,0,0,0.57,9.75,0,2.87
 60-70,0,0,5.89,0,0.98,0,0,0,0.98,0,13.74,0.98,3.93
 72-82,0.98,0,1.96,0,0.98,0,0,0.98,2.94,0,12.76,0,0
 84-94,0,0,4.25,0,1.06,0,0,1.06,1.06,0,9.56,0,0
 96-106,0,0,5.46,0,1.09,1.09,0,0,3.28,0,4.37,0,0
108-118,0,0,1.53,0,0.77,0.77,0,1.53,1.53,0,9.19,0,0.77
120,0,1.96,1.96,1.96,0,0,0,0,0,0,9.8,0,0
