stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,22,10,1,0,0,0,0,0,1,1,3,8,0,0,0,0,0
 24-34,1.64,2.46,0.82,0,1.64,0,0,4.1,0,0,2.46,0,0,0.82,0,257.75,0,0.82,128.05,34.48,1.64,0,0,0,0.82,0,0.82,0.82,0,13.13,0,0,3.28,0,0
 36-46,0,0.81,0.81,0,2.42,0,0.81,11.28,0,0,0.81,0,0,0,0,313.41,0,1.61,82.18,27.39,0.81,0.81,0,0,0,0.81,0,0,0,8.86,0,0.81,1.61,0,0
 48-58,0,0,1.15,0,8.61,0,0.57,12.05,1.15,0,2.3,0,0,0.57,1.15,338.54,0,8.03,50.49,37.87,0.57,0,0.57,0,0,0.57,0,0,0,1.72,0,0.57,1.15,0,1.15
 60-70,0,0.98,0.98,0,12.76,0,0.98,13.74,0.98,0,2.94,0.98,0.98,0,0.98,388.68,0,10.8,29.45,35.33,1.96,0,0,0,0.98,0,0,0,0,0.98,0,3.93,0.98,0,0
 72-82,0,2.94,0.98,0,19.63,0.98,0.98,20.61,3.93,0,2.94,0.98,0,0,1.96,584.09,0,14.72,46.14,29.45,0,0,0,0,0.98,1.96,0,0,0,0.98,0,12.76,1.96,11.78,0
 84-94,0,4.25,1.06,0,31.86,2.12,0,13.81,4.25,1.06,3.19,0,0,0,11.68,343.04,0,12.74,25.49,8.5,0,0,0,0,0,2.12,0,0,0,1.06,0,11.68,3.19,10.62,0
 96-106,0,3.28,1.09,0,29.51,3.28,2.19,16.39,1.09,0,0,1.09,1.09,0,10.93,344.25,1.09,8.74,32.79,33.88,1.09,0,0,0,3.28,1.09,0,0,0,1.09,1.09,5.46,4.37,9.84,0
108-118,0,3.06,0,0.77,14.55,0.77,0,21.45,3.83,0,0.77,0.77,0,0,28.34,375.32,0,9.19,29.11,26.81,0,0,0,0,5.36,0,0,0,0,0.77,0,3.06,0.77,13.02,0
120,0,3.92,1.96,1.96,3.92,0,0,33.32,5.88,0,5.88,1.96,1.96,0,58.79,525.22,0,11.76,64.67,39.2,1.96,0,0,0,1.96,3.92,0,0,0,0,0,5.88,3.92,11.76,0
