stage,axial,blastomeres,endocrine.pancreas,epidermis,eye,fin.mesenchyme,glial,gut,iridophores,melanocytes,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,2.63,13.14,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,8,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,9.85,0,0,0,0,1.64,0,0
 36-46,0,0,0,0,0,0,0.81,0,0,0,0,0,36.26,0,0,0,0,2.42,0,0
 48-58,0,0,0,0,0.57,0.57,0,0,0,0,0,0.57,14.35,0,0,0,0,4.02,0.57,0
 60-70,0,0,0,0,1.96,0,0.98,0,0,0,0,0,36.32,0,0,0,0,0.98,0,0
 72-82,0,0,0,0,0.98,0,1.96,0,0.98,0,1.96,0,55.95,0,0,0,0,2.94,0,0
 84-94,0,0,0,0,4.25,0,2.12,0,0,1.06,0,0,41.42,0,0,0,0,0,0,0
 96-106,0,0,0,1.09,4.37,0,0,0,0,0,0,0,40.44,0,1.09,0,0,2.19,0,0
108-118,0,0,0.77,1.53,0,0,0.77,0,0.77,0,1.53,0,59.75,0,0,0,0,0.77,0,0.77
120,0,0,0,0,1.96,0,0,1.96,0,0,0,0,82.31,0,0,0,0,0,0,0
