stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,5,0,0,0,0
 24-34,0,0,0,0,0,0,81.26,0,0,0,1.64,0,0,0,0,1.64,0,0.82,0,0,0,32.01,0,0,0.82,0,0,1.64,0,0,0,22.98,0,0,0,0.82
 36-46,0,0,0,0,0,0,146.63,0.81,0,0,9.67,0,0.81,0,0,0,0.81,1.61,0,0,0,84.6,0,0,0.81,0,0,1.61,0,0,0,153.08,0,0,0,0.81
 48-58,0,0,0,2.3,0.57,0,144.03,0.57,0,0.57,45.33,0,1.15,0,0,0,0,6.89,0,0,3.44,70.58,0,0.57,0,0,0,0.57,0,0,0,158.37,0,1.15,0,0
 60-70,0,0,0,1.96,0.98,0,134.47,0,0.98,0,99.13,0,0.98,0,0,0,0,9.82,0,0,0,61.84,0,0,0.98,0,0.98,0,0,0,0,92.26,0,0,0,0.98
 72-82,0,0,0,2.94,4.91,0,116.82,0,0,0.98,138.41,1.96,0.98,0.98,0,0.98,0,6.87,0,0.98,0,45.16,0.98,0.98,0.98,0,1.96,2.94,0,0,0,74.61,0,0.98,0,0
 84-94,0,2.12,0,2.12,4.25,0,135.94,0,0,0,98.77,5.31,5.31,0,0,0,0,9.56,0,1.06,1.06,22.3,1.06,0,2.12,0,0,3.19,1.06,1.06,0,78.59,0,0,1.06,0
 96-106,0,2.19,2.19,10.93,3.28,2.19,135.51,2.19,2.19,1.09,91.8,2.19,3.28,0,1.09,3.28,0,29.51,0,1.09,2.19,34.97,0,3.28,1.09,0,0,6.56,0,0,0,90.71,0,2.19,1.09,0
108-118,0,0,2.3,4.6,4.6,0,127.15,0,0,0.77,80.43,1.53,4.6,1.53,0.77,0,0,12.26,0,1.53,0,37.53,0,0,0,0,0.77,2.3,0,0,0,47.49,0.77,0.77,2.3,0
120,0,0,1.96,3.92,5.88,0,139.14,0,0,0,82.31,1.96,5.88,0,0,1.96,0,17.64,1.96,0,0,17.64,0,0,1.96,0,3.92,3.92,0,0,0,62.71,0,0,0,0
