stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,2,0,0,0,0,0
 24-34,0,0,0.82,0,3.28,0,11.49,0,0,0,0,0,0,0.82,0,0,121.49,0,0,0,0,0.82,0,3.28,0,0,0,0
 36-46,0,0,0,0,4.03,0,15.31,0,0,0,0,0,0,2.42,0,0.81,257.81,0,0,0,1.61,0,0,3.22,0,0,0,0
 48-58,0,0,1.72,0,55.66,0.57,18.94,0,0,0,0,0.57,1.15,10.33,0.57,2.87,479.7,0,1.15,0,1.72,0,0,33.85,0,0,0.57,1.15
 60-70,0,0,2.94,0,113.86,0,11.78,0,0,0,0,0,0,9.82,0,0,468.19,0,0.98,0,1.96,0,0,80.48,0,0,0,0.98
 72-82,0,0,3.93,1.96,164.92,2.94,22.58,0,0,0.98,0,0,0,10.8,0.98,0.98,396.59,0,0,0.98,0.98,0,0,53.01,0,0.98,0.98,0.98
 84-94,0,0,9.56,2.12,117.89,1.06,21.24,1.06,1.06,3.19,0,0,0,9.56,0,0,261.26,0,0,0,3.19,1.06,0,37.17,0,0,1.06,0
 96-106,0,0,2.19,0,79.78,1.09,13.11,0,0,2.19,1.09,2.19,0,3.28,0,0,183.6,0,0,1.09,2.19,0,0,8.74,0,0,1.09,0
108-118,0,0,1.53,0.77,71.23,0,7.66,0,0,0,0,0.77,0.77,4.6,0,0.77,219.83,0.77,0,3.06,3.06,0,0,7.66,0.77,0,0,0
120,0,0,3.92,0,64.67,0,7.84,1.96,1.96,0,0,0,0,3.92,0,3.92,280.25,0,1.96,0,3.92,0,0,3.92,0,0,0,0
