stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,23.66,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,12.59,0,0,0,3.15,0,3.15,0,0,0,0,0
 14-21,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,2,7,0,0,0,0,0,0,2,1,0,0,0
 24-34,0,0,0,2.46,0,4.1,0,0,0,0,0,0,0.82,0,0,0,0,6.57,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0.81,0,0.81,0,0,0,0,0,0,2.42,0,0,0,0,0,0,0,0,0,0,0.81
 48-58,0,0,0,1.15,0,0,0,0,0,0,0,0,0,0,0.57,0,0,1.15,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0.98,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,0.98,0.98,0.98,0,0.98,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,1.06,0,0,1.06,1.06,1.06,0,0,0,0,0,0,0,0,0,0,0,1.06
 96-106,0,0,0,2.19,0,1.09,1.09,1.09,0,0,0,1.09,0,0,1.09,0,0,5.46,0,1.09,1.09,0,4.37,0,0,0,0,0,1.09
108-118,0,0,0,4.6,0.77,1.53,0,2.3,0,0,0,0,0,0,0.77,0,3.06,2.3,0.77,0,0,0,3.83,0,0,0,0,0.77,0
120,0,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0,1.96,3.92,0,0,0,1.96,1.96,0,0,0,0,0,0
