stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,30,0,0,0,0,0,8,0,0,0,0
 24-34,0,0,0,0,1.64,0,0,0,2.46,0,0,0,0,0,0,1.64,0,0,105.07,0,0,3.28,0,0.82,11.49,0,0,0,0
 36-46,0,0,0.81,0,1.61,0,0,0,8.06,0,0,0,0,0,0,1.61,0,0,104.74,0,4.83,12.89,0,0,13.7,0,0,0,0
 48-58,0,0,0,0,4.02,0,0,0,10.33,0,0,0,0.57,0,0,1.15,0,0,66.56,0,2.3,22.95,0,0.57,8.03,0,0,0.57,0
 60-70,0,0,0,0,5.89,0,0.98,0,18.65,0,0,0,1.96,0,0,2.94,0,0,41.22,0,3.93,31.41,0,0.98,2.94,0,0,0,0
 72-82,0,0,0.98,0,16.69,0,0,0.98,27.49,0.98,0.98,0,0.98,0,0,2.94,0.98,0,68.72,0,6.87,78.53,0,0.98,2.94,0,0,0,0
 84-94,0,0,1.06,0,15.93,0,0,0,18.05,0,1.06,0,3.19,0,1.06,1.06,0,0,45.67,0,26.55,105.14,0,0,5.31,0,0,1.06,1.06
 96-106,0,0,9.84,2.19,8.74,0,4.37,0,15.3,0,0,0,5.46,1.09,0,2.19,0,0,36.06,1.09,38.25,122.4,0,0,0,1.09,0,2.19,0
108-118,0,0,2.3,1.53,6.89,0.77,1.53,0.77,27.57,0.77,0,0,2.3,0,0,3.06,0,0.77,43.66,1.53,21.45,115.66,0,0.77,0.77,0,0.77,0.77,0
120,1.96,0,11.76,0,5.88,0,0,0,15.68,1.96,3.92,1.96,3.92,0,0,3.92,1.96,0,58.79,0,15.68,94.07,0,0,0,0,0,0,0
